"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261985442/0/120/90/d05855b124f5cc59bc343c77791a4f4f/16/1575b54850c7ed9b5ea89e6e4ad2dca3/261985442.JPG","V1140891","S","5366 SUNSHINE COAST HIGHWAY","VSCSD","$34,000","8/25/2015","6","2","1","952","9999","999","50.00","100","1","HOUSE","RANBG","5","Sunshine Coast","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261930136/0/120/90/c876267488f3bfd94780316384640333/16/0db850fde2115ee0d713e781be3a7797/261930136.JPG","V1137080","S","15 21163 LOUGHEED HIGHWAY","VMRWC","$37,000","7/29/2015","11","2","1","780","1980","35","0.00",,"1","MANUF","MANUF","4","Maple Ridge","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261617870/0/120/90/ee5b65ca6c88ce609d06608dde262789/16/dc39b86d7f16609093669c1c54018b52/261617870.JPG","V1113662","S","223 201 CAYER STREET","VCQML","$56,614","3/30/2015","130","2","2","1,056","1975","40","0.00",,"1","MANUF","MANUF","7","Coquitlam","2","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261942412/0/120/90/ff7cbdfc5f263501c809935d1fa8fbc6/16/b0ce9ec4f285e38502666bc8f0e359ad/261942412.JPG","V1137924","S","112 1413 SUNSHINE COAST HIGHWAY","VSCGB","$62,500","8/5/2015","26","3","1","924","1991","24","0.00",,"1","MANUF","MANUF","6","Sunshine Coast","1","0"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261608452/0/120/90/f4575cd5b94f0a65e8a0aba8be21484f/4/eea28ef6ca0cb11057b660872f6f493f/261608452.JPG","V1113096","S","120 1413 SUNSHINE COAST HIGHWAY","VSCGB","$85,000","3/23/2015","161","2","1","879","1991","24",,,"1","MANUF","1ST","5","Sunshine Coast","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261716240/0/120/90/0cf00cdb17c12f6d75e254db9dc229de/16/b0fcd6f1479a2ff8432cea46916fa0b3/261716240.JPG","V1121131","S","176 1830 MAMQUAM ROAD","VSQGE","$110,000","5/4/2015","105","3","1","1,000","1980","35",,,"1","MANUF","MANUF","7","Squamish","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261903843/0/120/90/e9213ef4e2997bcaaced0dbe3aa00dbf/16/0400e73a069d9c3450723b3185f169be/261903843.JPG","V1135121","S","71 145 KING EDWARD STREET","VCQCC","$129,000","7/16/2015","41","2","1","980","1986","29","0.00",,"1","MANUF","MANUF","5","Coquitlam","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261933921/0/120/90/0cef073c3dea5d5b01926dededb942cc/16/72ec988f5baccda51317824c36662fc0/261933921.JPG","V1137245","S","105 4510 SUNSHINE COAST HIGHWAY","VSCSD","$155,000","7/31/2015","9","2","2","960","2006","9","0.00",,"1","MANUF","RANBG","6","Sunshine Coast","2","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261958699/0/120/90/45b4216a759e5f61f58ca6a2bf120d76/16/72b1b799cd428a060f85c4b0348c87b3/261958699.JPG","V1139069","S","34 5575 MASON ROAD","VSCSD","$179,000","8/12/2015","15","3","2","1,500","2006","9","0.00",,"1","MANUF","MANUF","8","Sunshine Coast","2","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261965268/0/120/90/803d98ec17e5f1b007a6800f0ae3c53f/16/9f7dfbb8d3b847c57dde1f9edb131a77/261965268.JPG","V1139469","S","5684 CARMEL PLACE","VSCSD","$211,000","8/17/2015","7","4","4","3,160","1991","24","91.70","IRR","1","HOUSE","2BSMT","9","Sunshine Coast","4","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261608144/0/120/90/b0d136ed59e6bb327356e18d9514be74/16/b9ec1a1d1d98df262dfee5c6251fd1f5/261608144.JPG","V1113597","S","5637 CREEKSIDE PLACE","VSCSD","$245,000","3/30/2015","149","3","1","1,311","1982","33","47.50","IRR","1","HOUSE","RANBG","7","Sunshine Coast","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261916643/0/120/90/95117db0d87cc5922c2a80d1df2eb752/16/54ac1bf86fbd0fd7cb8f2f7de2765693/261916643.JPG","V1136130","S","5765 BINNACLE AVENUE","VSCSD","$249,000","7/15/2015","27","3","1","1,732","1978","37","62.50",,"1","HOUSE","2ST, SPLIT","9","Sunshine Coast","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261966110/0/120/90/806bf3704f52e4e6890b3b45fe4cfd45/16/a49739b823b2e1e0de02325aa3b0bbdf/261966110.JPG","V1139887","S","5769 BINNACLE AVENUE","VSCSD","$249,000","8/19/2015","0","3","2","1,687","1978","37","62.50","125","1","HOUSE","2ST, SPLIT","7","Sunshine Coast","1","1"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261525975/0/120/90/21a2b6264bbc86e2f006e04ec47efe08/16/b534842a88f2f23411697c1f79aa0445/261525975.JPG","V1106368","S","6146 S GALE AVENUE","VSCSD","$260,000","2/20/2015","190","2","2","1,415","1990","25","92.00","125","1","MNFLD","RANBG","8","Sunshine Coast","2","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261665045/0/120/90/6fe718df577bc7c7bc141a7f1083e48b/16/2a4744fc4693d8c2d0b995e44986b819/261665045.JPG","V1117370","S","13155 PORLIER PASS ROAD","VISGL","$260,000","4/12/2015","139","2","1","980","9999","999","130.00","328.0","1","HOUSE","RANBG","5","Islands-Van. & Gulf","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260807997/0/120/90/78c2a9c015a98b81107e41a943b9f30c/16/d0717e67998654132294ea63d3683d31/260807997.JPG","V1049825","S","LOT11B QUARRY BAY","VSCPE","$270,000","2/26/2014","546","2","2","1,044","9999","999",,,"1","RECRE","3ST","6","Sunshine Coast","1","1"
