"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261877313/0/120/90/70ca56dddf49dc4fd067ef4d473ddd2e/16/31e1deeff055d735e51ce12a272888be/261877313.JPG","V1133350","S","4 23000 DYKE ROAD","VRI90","$108,000","7/8/2015","166","1","1","820","9999","999","0.00","0","1","HOUSE","FLOAT","4","Richmond","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261843178/0/120/90/11d3bdf5ef64ef9894d6250a62803445/16/3ac0c09bd97bc8276c47ba1aee73732e/261843178.JPG","V1130786","S","12 4496 SUNSHINE COAST HIGHWAY","VSCSD","$145,000","6/22/2015","182","2","2","1,128","1974","42","0.00",,"1","MANUF","MANUF","7","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042593/0/120/90/6eb86e9bce63179a9c78d5196aa53f28/16/f169863b3ab3771e4108d22ad85f9fec/262042593.JPG","R2020966","S","5774 EBBTIDE STREET","VSCSD","$241,000","12/16/2015","0","2","2","1,350","1983","33","62.50","120","1","HOUSE","1ST","7","Sunshine Coast","2","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032328/0/120/90/1b403bd6625cafdbbeb1e813d2361286/16/4d33af3b3f4d1646bc70b2c7d62553c1/262032328.JPG","R2010701","S","5176 WESJAC ROAD","VSCPE","$260,000","10/23/2015","50","2","3","2,116","1980","35","57.50","163","1","HOUSE","2ST","10","Sunshine Coast","2","1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261629950/0/120/90/4a5fd8ddee0e177457a35f8d968018a3/16/3b926c91d8e5e3b5eebd654b51a00a2c/261629950.JPG","V1114646","S","1035 FAIRVIEW ROAD","VSCGB","$278,750","3/30/2015","259","2","1","1,200","9999","999","0.00",,"1","MNFLD","1ST, MANUF","8","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260255417/0/120/90/0c08c047158e191e0ee4e18f8d0004b6/16/dac05a4578c193c8753b038076c50ce4/260255417.JPG","V1006833","S","407 E POINT ROAD","VISST","$280,000","5/6/2013","949","2","0","0","1981","35",,,"1","HOUSE","3LEV","9","Islands-Van. & Gulf","0","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025806/0/120/90/05765d858b5173786dceba1d100d06fb/16/05fe97f6189af633ffc5a9c8f161f1dd/262025806.JPG","R2004179","S","5687 SURF CIRCLE","VSCSD","$282,500","9/26/2015","69","3","2","1,420","1983","32","77.00","113","0","HOUSE","RANBG","5","Sunshine Coast","1","1"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262002110/0/120/90/c63d9c91327c1f5218d4ba955823ebe7/16/dee4527dcc9d576a12cee248df0a310a/262002110.JPG","V1142125","S","5673 EBBTIDE STREET","VSCSD","$292,000","9/2/2015","91","3","1","1,096","1977","38",,,"1","HOUSE","RANBG","6","Sunshine Coast","1","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027489/0/120/90/1f8d3ed0944b6b9466982d12000fc276/16/32ef0ea9e65945cf929952433a4300ac/262027489.JPG","R2005862","S","11160 PRINCESS STREET","VMRSW","$314,900","10/5/2015","59","2","1","1,104","1945","70","60.00","120","1","HOUSE","2ST","8","Maple Ridge","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025615/0/120/90/185379374a3486fa7461747f4b0eea48/16/06fc1912a237394144d701d628b236d0/262025615.JPG","R2003988","S","11976 214 STREET","VMRWC","$323,000","9/28/2015","80","3","2","1,211","1980","36","0.00",,"1","HOUSE","2ST","10","Maple Ridge","1","1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261937633/0/120/90/b8aa67eedcbb7f5c8ef5a969d844080b/16/b39040f0647f3d4fbf9380b150cdf41e/261937633.JPG","V1137555","S","2383 LOWER ROAD","VSCRC","$330,000","8/2/2015","146","3","3","2,164","1975","41","120.00","109","1","HOUSE","RBBMT","10","Sunshine Coast","1","2"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032321/0/120/90/1059a1e6e059539c12d4d75b0327eb65/16/cf3730a1531dfbed248ad9dc6fcfc153/262032321.JPG","R2010694","S","7035 SECHELT INLET ROAD","VSCSD","$330,000","10/23/2015","41","2","1","950","2012","3","30.00",,"1","HOUSE","1ST, RBLFT","7","Sunshine Coast","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038207/0/120/90/e71e1ec40ee88387a3c981ac18788b1f/16/b27630a78aae697e009a02193ddc72f7/262038207.JPG","R2016580","S","6206 SITKA ROAD","VSCSD","$333,238","11/20/2015","12","3","2","1,344","2015","0","75.00","136","1","HOUSE","RANBG","8","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261788482/0/120/90/bc1b3c85e9d9ace4ef69a9df0950338e/16/4147738879912e35ca1c9986f7f7cf03/261788482.JPG","V1126679","S","12708 MERRILL CRESCENT","VSCPE","$349,000","6/2/2015","212","3","3","1,824","1994","22","78.48","160","1","HOUSE","2ST","9","Sunshine Coast","3","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038777/0/120/90/aba488501e91db7fbf3b253468de336e/16/29a0ec4a6225e8e36fcc83be2e3df85e/262038777.JPG","R2017150","S","1900 PORTER ROAD","VSCRC","$350,000","11/24/2015","37","2","1","780","1971","45","351.00","626","1","HACR","MANUF","5","Sunshine Coast","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261749507/0/120/90/1b2859646262a2efdb279ce7a4d78d2f/16/0cb122c6476668e1acc5751bfaf616e6/261749507.JPG","V1123670","S","5704 DOLPHIN STREET","VSCSD","$350,000","5/16/2015","217","3","2","1,784","1970","46","63.00","122","2","HOUSE","BSMNT","9","Sunshine Coast","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262040683/0/120/90/3de55caaf8727addd29ed5a0cf52a0f9/16/5f21c05d64dde497758e2b7917fee78f/262040683.JPG","R2019056","S","702 TRUEMAN ROAD","VSCGB","$351,000","12/1/2015","9","3","1","1,013","1972","43","0.00",,"1","HOUSE","RANBG","7","Sunshine Coast","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039216/0/120/90/663b360866f72b8bf2e2d370373d7a35/16/a000480f6e6f7bc91a5286d3bc958a69/262039216.JPG","R2017589","S","20980 123 AVENUE","VMRWC","$364,000","11/23/2015","28","3","2","1,658","2016","0","0.00",,"1","HOUSE","RANBG","6","Maple Ridge","2","0"
