"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261857305/0/120/90/53104367d97065e21c2cb7fb2e75effa/16/0bd7d58cc3da3734c7918c4b273cb9bb/261857305.JPG","V1131695","S","116C 2020 LONDON LANE","VWHCR","$43,350","6/29/2015","203","1","1","592","2008","8",,"1","$385.00","Apartment/Condo","PETY","1","4","Whistler","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052358/0/120/90/edd7f7c93e1277d32956db13fa71b8fb/16/a53953735494f3e8a68136ec338090c1/262052358.JPG","R2030731","S","105D 2020 LONDON LANE","VWHCR","$51,500","1/31/2016","0","1","1","592","2008","8",,"1","$380.00","Apartment/Condo","PETY, RENY","1","3","Whistler","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261328019/0/120/90/fa41bbd36cfd1aded3b7eb23ab896126/16/35e9c5adf1f3a9262664da708aa81575/261328019.JPG","V1090901","S","430A 2036 LONDON LANE","VWHCR","$52,500","10/20/2014","463","1","1","589","2001","15","Y",,"$319.00","Apartment/Condo","PETN","1","4","Whistler","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039459/0/120/90/e56d88cd1557093f2b0ab27ecea80853/16/352b97e0a676b5f7ce3383369c45353d/262039459.JPG","R2017832","S","4403 4295 BLACKCOMB WAY","VWHVI","$55,000","11/23/2015","56","0","1","402","1995","21",,"1","$376.64","Apartment/Condo","RENR","1","2","Whistler","1","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027881/0/120/90/df6918e21c1a844a2d11b31a8c5593a8/16/d8fd6c17970d9fce05c29ef0d59c4147/262027881.JPG","R2006254","S","306A 2036 LONDON LANE","VWHCR","$57,000","10/3/2015","101","1","1","681","2001","15",,,"$350.00","Apartment/Condo","NO","1","3","Whistler","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044093/0/120/90/ad9ddc0efc5d71ed124dfa97a4f8b709/16/8825e6fd8417ae46ef97d5fa566009bb/262044093.JPG","R2022466","S","407B 2020 LONDON LANE","VWHCR","$61,000","12/31/2015","14","1","1","598","2008","8","Y","1","$396.00","Apartment/Condo","PETR, RENR","1","4","Whistler","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039701/0/120/90/a245790163e8fa83f34018150ebc8638/16/85fda7f046c8daf292416b90cc72016a/262039701.JPG","R2018074","S","307C 2036 LONDON LANE","VWHCR","$65,000","11/30/2015","48","1","1","722","2001","15","Y",,"$345.48","Recreational","PETN","1","5","Whistler","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261532356/0/120/90/e93d698b2936e3386c25c63ec5e3f723/16/653cf75f6be915c1a1c0d1b9022a3a6d/261532356.JPG","V1106736","S","106D 2020 LONDON LANE","VWHCR","$67,000","2/20/2015","339","2","2","1,009","2008","8",,"1","$632.00","Apartment/Condo","PETR, RENR","1","5","Whistler","2","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033981/0/120/90/0c6c537c9948621f5fe2b9c99b5d1f6f/16/1f1264099bc0f0b2223d9e7966f33758/262033981.JPG","R2012354","S","324 D 2036 LONDON LANE","VWHCR","$72,500","10/30/2015","70","2","2","952","2001","15",,,"$503.00","Recreational","RENR, SMKG","1","4","Whistler","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261810249/0/120/90/09002c6c9dafe8b327cbd52a6c5daadd/16/116d0b1001522dfd2b7d66d6bf81314a/261810249.JPG","V1128615","S","416 4899 PAINTED CLIFF ROAD","VWHBE","$73,000","6/10/2015","216","0","1","432","1996","20",,"1","$350.00","Apartment/Condo","PETR, RENR","1","4","Whistler","1","0"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027277/0/120/90/8f2d3cf2865ff957b937fe10e93a7d65/16/7511209868ec691fb9ef88697a484ac5/262027277.JPG","R2005650","S","112C 2020 LONDON LANE","VWHCR","$73,000","9/29/2015","118","2","2","1,008","2008","8",,"1","$630.00","Apartment/Condo","PETY, RENY","1","5","Whistler","2","0"
