"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085442/0/120/90/e76098efae2fb1294793f134d16f7cc5/16/b4356fdfad4de058e5e5786b2dfd30eb/262085442.JPG","R2063815","S","25 12907 SHARK LANE","VSCPE","$20,000","4/29/2016","54","1","1","364","2005","11",,,"1","RECRE","MANUF","5","Sunshine Coast","1","0"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","R2078609","S","18 12868 229 STREET","VMREC","$39,900","6/6/2016","3","2","1","672","1969","47",,,"1","MANUF","MANUF","4","Maple Ridge","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262100736/0/120/90/82977581b1a8645a079946621f6206f7/15/3d72797cbf2da9faf46489712fedadb6/262100736.JPG","R2079109","S","96 201 CAYER STREET","VCQML","$59,000","6/8/2016","9","2","1","769","1972","44",,,"1","MANUF","1ST, MANUF","4","Coquitlam","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044309/0/120/90/02bc06e482006e0d3d5cf3968ef543a1/16/190abd88920717e44cbb44c8ce2dda54/262044309.JPG","R2022682","S","4 12793 MADEIRA PARK ROAD","VSCPE","$61,500","1/4/2016","158","2","2","924","2003","13",,,"1","MANUF","MANUF","4","Sunshine Coast","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262102455/0/120/90/256e7c9842cdf283b7259cca0dcb5006/16/47549ea52369c942b609ddc8108d21b6/262102455.JPG","R2080828","S","218 TYEE DRIVE","VWVPR","$64,000","6/13/2016","1","2","1","927","1975","41",,,"1","MANUF","MANUF","8","West Vancouver","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054814/0/120/90/d5af8e8708aba31061109ba1b4a54fbe/16/8b27efa504429a4d17aa0e6bf7f93d93/262054814.JPG","R2033187","S","14 201 CAYER STREET","VCQML","$68,000","2/9/2016","122","2","1","760","1970","46","0.00","0","1","MANUF","MANUF","5","Coquitlam","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103360/0/120/90/fc87422171c1ec59586924620615a2cf/16/1b693a253be02c7afb184cfb58a55c35/262103360.JPG","R2081733","S","48 4200 DEWDNEY TRUNK ROAD","VCQCW","$72,900","6/15/2016","5","1","1","719","1964","52",,,"1","MANUF","1ST, MANUF","4","Coquitlam","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262096857/0/120/90/422b6964220413964931b9eeb44afe71/16/7727c4d4b9f531af33d5a72bae8a51e4/262096857.JPG","R2075230","S","209 201 CAYER STREET","VCQML","$78,000","5/31/2016","2","2","1","1,075","1971","45","0.00","0","1","MANUF","MANUF","8","Coquitlam","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262097654/0/120/90/2d9be65057049b5f165af69e50007f3d/16/37433ea8ba6e1594a80799dc68aa6e8d/262097654.JPG","R2076027","S","76 201 CAYER STREET","VCQML","$83,000","6/2/2016","3","2","1","808","1974","42","0.00","0","1","MANUF","MANUF","5","Coquitlam","1","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078624/0/120/90/f46b48ef4823f6da2978eec0400ff9cb/16/39b21959811cadd12f506bb7f9941f3d/262078624.JPG","R2056997","S","14 5575 MASON ROAD","VSCSD","$95,000","4/10/2016","58","2","1","924","1990","26",,,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
