"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124299/0/120/90/147023b77d02f2c463f9d148cc7aa28c/16/e02d857ca5ab436d9a6d36e99a33eb4d/262124299.JPG","R2102672","S","77 1413 SUNSHINE COAST HIGHWAY","VSCGB","$54,000","8/22/2016","32","2","1","896","1977","39",,,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133613/0/120/90/db624153ee9b4b3f155415f6950c77e7/16/b486defcdad449bf422c1ad046213526/262133613.JPG","R2111986","S","39 201 CAYER STREET","VCQML","$61,500","9/26/2016","4","2","1","624","1973","43",,,"1","MANUF","MANUF","5","Coquitlam","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092245/0/120/90/2df921d0cd83fceb91c1926efafa3792/16/86dec08f9876fd19ee26e574fc15630a/262092245.JPG","R2070618","S","42W 8191 RIVER ROAD","VRI12","$66,000","5/17/2016","130","1","1","627","1974","42",,,"1","OTHER","FLOAT","6","Richmond","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262080548/0/120/90/9a573a34777e3c0224e87bd17777cdea/16/a0a65d009f8e5e1cd70458d73263cf91/262080548.JPG","R2058921","S","5958 NORTH LAKE ROAD","VSCPE","$73,000","4/18/2016","149","3","2","1,480","9999","999","101.00","300","1","HOUSE","2ST","10","Sunshine Coast","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132182/0/120/90/8186c0bc03f99a2334f63e00327347b0/16/34fc506b9884951eef837ce230d4f272/262132182.JPG","R2110555","S","299 201 CAYER STREET","VCQML","$82,000","9/20/2016","3","2","1","960","1973","43",,,"1","MANUF","MANUF","6","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262129560/0/120/90/413ad8b83bcf1dc70b7c0a4cd7130a6d/16/f52828a4dcf6b2e66265151aa52fafa9/262129560.JPG","R2107933","S","21081 LOUGHEED HIGHWAY","VMREC","$98,500","9/9/2016","8","3","1","938","1983","33","0.00",,"1","MANUF","MANUF","6","Maple Ridge","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061593/0/120/90/fd6d448d83aa36e8214ebd0fd360abc1/16/ba4827ff75b11833c35240dd57d3a976/262061593.JPG","R2039966","S","5418 MONKEY TREE LANE","VSCSD","$110,000","2/26/2016","188","4","2","1,560","1992","24","50.00","120","1","HOUSE","2ST","10","Sunshine Coast","2","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262114696/0/120/90/74410eb12df40df46d4ff132515f14c1/16/5a99441d86b876426c0e1c1b448a1985/262114696.JPG","R2093069","S","14 40022 GOVERNMENT ROAD","VSQGE","$122,900","7/19/2016","71","2","1","720","1971","45",,,"1","MANUF","1ST","4","Squamish","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130955/0/120/90/c03f9372170ec1fc6d510c58d6d1a663/16/51415e0acdd3963d5bf45686a6f1c91d/262130955.JPG","R2109328","S","32 1123 FLUME ROAD","VSCRC","$147,000","9/16/2016","0","2","1","924","1981","35",,,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262120393/0/120/90/40a7bbc69be254107dedd7c04bb08e6c/16/81a4aa82ca195d5b0883edcc79a7381b/262120393.JPG","R2098766","S","147 1830 MAMQUAM ROAD","VSQGE","$150,000","8/8/2016","24","3","2","1,056","1982","34",,,"1","MANUF","MANUF","9","Squamish","1","1"
