"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153978/0/120/90/a2e5a80c620b5b820f5a49a212730bac/16/36f33c3cee50a1ed15c6618767a1c2b9/262153978.JPG","R2132351","S","212G1 4653 BLACKCOMB WAY","VWHBE","$80,000","1/18/2017","21","1","1","633","2000","17","Y","1","$295.00","Apartment/Condo","PETN","1","4","Whistler","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157344/0/120/90/af0a7361e9fe3f5db40aa6d6f8c3c71f/16/fb9efd0bcce16c3bd9b4a6e6b987af79/262157344.JPG","R2135717","S","405A 2020 LONDON LANE","VWHCR","$87,500","1/31/2017","2","1","1","592","2008","9","Y","1","$415.00","Apartment/Condo","PETY","1","3","Whistler","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149495/0/120/90/1c6bf5488d87feb7fab6b4493ab18f14/16/2de8e7b671bad86ad4f8f6118a15c225/262149495.JPG","R2127868","S","304 2020 LONDON LANE","VWHCR","$89,000","12/10/2016","69","1","1","592","2008","9","Y","1","$416.79","Apartment/Condo","NO","1","3","Whistler","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143674/0/120/90/b83003f63d55f8e8b5efbea8ac5ab35b/16/2f31f6ab93f2dfcd1fc1934835b40b42/262143674.JPG","R2122047","S","215C 2036 LONDON LANE","VWHCR","$99,000","11/5/2016","111","1","1","723","2001","16","Y","1","$399.00","Apartment/Condo","RENY","1","5","Whistler","1","0"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161303/0/120/90/5062a5d5ea2036011e9cb1bcf0f8d1f1/16/2e019ff2a01d0cc5f41ba72d2604d49b/262161303.JPG","R2139676","S","218 4122 VILLAGE GREEN WAY","VWHVI","$105,000","2/17/2017","1","0","1","371","1987","30",,"1","$0.00","Apartment/Condo","PETR","1","2","Whistler","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163541/0/120/90/a09addd479d4c1133a2b26403967da9a/16/8fabb03804a9a6d151b5266ae427a5ae/262163541.JPG","R2141914","S","606 7571 WESTMINSTER HIGHWAY","VRI60","$118,000","2/24/2017","3","0","1","437","1998","19",,,"$0.00","Other","NO","0","1","Richmond","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155878/0/120/90/8dac015e154ccc716cbb1b5f17cd65fa/16/c6e13ee012c71d4a907c0a8e0a9ed77d/262155878.JPG","R2134251","S","133 8051 RYAN ROAD","VRI54","$118,000","1/23/2017","26","1","1","675","1975","42",,"1","$403.00","Apartment/Condo","RENY","1","5","Richmond","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158261/0/120/90/4e3df76746970f21db949eaee0d7b662/16/26e046b123c857686455961f8631616e/262158261.JPG","R2136634","S","10C 2300 NORDIC DRIVE","VWHNO","$120,000","2/2/2017","1","3","4","2,519","2002","15",,"4","$848.33","Townhouse","PETN, RENN, SMKG","1","8","Whistler","3","1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262162160/0/120/90/c3faebb919412d82a521e14968bfe876/16/0bd44799f01c4a30c05f189e734d14d0/262162160.JPG","R2140533","S","16 G 2300 NORDIC DRIVE","VWHNO","$125,000","2/21/2017","3","3","5","2,450","2002","15",,"4","$845.33","1/2 Duplex","RENR","1","8","Whistler","4","1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158887/0/120/90/23477c3adecc4e67e5038d549c6c650a/16/ce011923c2b717890b3019a7cb838721/262158887.JPG","R2137260","S","103 7220 LINDSAY ROAD","VRI23","$129,000","2/6/2017","7","1","1","634","1974","43",,"1","$273.85","Apartment/Condo","PETN, RENY","1","5","Richmond","1","0"
