"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262212042/0/120/90/2a0a48b57c128f59d8287adb2e71fa15/16/f541120421737673e325218cbcfe94e7/262212042.JPG","R2190415","S","5378 SUNSHINE COAST HIGHWAY","VSCSD","$20,000","7/19/2017","0","2","1","982","9999","999","50.00","100","1","HOUSE","RANBG","6","Sunshine Coast","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262205241/0/120/90/3cb1b90b8f45eda24d96234118c4ed15/16/d630954190b25e0f319057b52fe850e9/262205241.JPG","R2183614","S","32 1413 SUNSHINE COAST HIGHWAY","VSCGB","$64,500","6/29/2017","2","3","1","972","1976","41",,,"1","MANUF","1ST","5","Sunshine Coast","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180771/0/120/90/c5fe83a9303c169942473a3ed29aa85c/16/4ebab2047b6bffff2b20f806489e622b/262180771.JPG","R2159144","S","16 1413 SUNSHINE COAST HIGHWAY","VSCGB","$64,900","4/21/2017","101","2","1","720","1973","44",,,"1","MANUF","1ST","4","Sunshine Coast","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211515/0/120/90/8ee26cef6ec0d45c3ccb428c1439bc30/16/6eac2f3c88de8b8ca61d1fd971518b32/262211515.JPG","R2189888","S","216 201 CAYER STREET","VCQML","$71,000","7/18/2017","0","3","1","960","1974","43",,,"1","MANUF","RANBG","6","Coquitlam","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209471/0/120/90/c1fc172dc1a7b72589f9abc89bdff76a/16/1b9ce34ae9158e988a1c1b7b464c85c7/262209471.JPG","R2187844","S","3 23080 DYKE ROAD","VRI90","$75,000","7/13/2017","4","1","1","1,060","1976","41","0.00","0.00","1","HOUSE","FLOAT","5","Richmond","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209784/0/120/90/82837ef0c407c2f8ac591c03ea37f1f4/15/dbb1edb7fa16522d19be82159bd01477/262209784.JPG","R2188157","S","83 201 CAYER STREET","VCQML","$94,000","7/13/2017","5","2","1","950","1973","44",,,"1","MANUF","MANUF","6","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211020/0/120/90/a9af1e7275ab4d687d194b20bd748d23/16/5b35765b465900468d6b673d48a20074/262211020.JPG","R2189393","S","125 145 KING EDWARD STREET","VCQML","$100,000","7/17/2017","2","2","2","980","1988","29","0.00","0","1","MANUF","MANUF","4","Coquitlam","2","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262193961/0/120/90/87241965b1eec3627602516f1737e022/16/6cf33e451efb9e97ca8bee0d2584aba5/262193961.JPG","R2172334","S","142 201 CAYER STREET","VCQML","$137,501","5/28/2017","34","2","1","960","1972","45",,,"1","MANUF","MANUF","9","Coquitlam","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262210129/0/120/90/ee4828ff119cd3141fe297084ca73d87/16/db5a71e6d7346268fc9c160d0784c92b/262210129.JPG","R2188502","S","131 1413 SUNSHINE COAST HIGHWAY","VSCGB","$145,000","7/13/2017","4","2","1","924","1989","28",,,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128348/0/120/90/13b20b0e75e08697052271bfa0529287/16/303f0edff8736274191e33dff5406403/262128348.JPG","R2106721","S","30 5288 SELMA PARK RD ROAD","VSCSD","$155,000","9/7/2016","296","3","1","1,340","1975","42",,,"1","MANUF","MANUF","8","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262193760/0/120/90/239f068fe14cc898a220220bf4dd0d06/16/541bf56d92c5feff805e832f713272eb/262193760.JPG","R2172133","S","68 1413 SUNSHINE COAST HIGHWAY","VSCGB","$160,000","5/30/2017","51","3","1","998","1973","44",,,"1","MANUF","GUNIT, MANUF","7","Sunshine Coast","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196906/0/120/90/50ae8550e0c13209be98af968c834d7d/16/cebc2eed705190bb28ffd1abf9104425/262196906.JPG","R2175279","S","200 201 CAYER STREET","VCQML","$184,000","6/6/2017","43","2","1","1,036","1971","46",,,"1","MANUF","MANUF","6","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262177550/0/120/90/adce08b69bb6d4b014fef03574c63ecf/16/c13cc3b17fdc8cef73ab2b4be521accd/262177550.JPG","R2155923","S","1909 GEORGESON BAY ROAD","VISGL","$201,500","4/12/2017","83","2","1","1,214","1971","46","743.00","527","1","HACR","1ST+","7","Islands-Van. & Gulf","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262184312/0/120/90/6c19c6c60fea775d809fcc3c71c5cd44/15/8f4ed92ca4723d83fad1db0cacb635ee/262184312.JPG","R2162685","S","36 201 CAYER STREET","VCQML","$219,000","4/29/2017","80","3","2","1,516","1972","45",,,"1","MANUF","MANUF","13","Coquitlam","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262204686/0/120/90/589e99f91da4629af820408b04f0162a/16/cde20099b8a627b16cb8d12e13a2b0d0/262204686.JPG","R2183059","S","5 11838 PONDEROSA BOULEVARD","VPICM","$220,000","6/26/2017","10","2","1","792","1975","42",,,"1","MANUF","MANUF","6","Pitt Meadows","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262205931/0/120/90/32fea3026a7e489ceb9710133e201921/16/f4c99da6b82607ff02fb0000bf94d504/262205931.JPG","R2184304","S","149 145 KING EDWARD STREET","VCQML","$230,000","7/4/2017","7","3","2","1,152","1988","29",,,"1","MANUF","1ST, MANUF","8","Coquitlam","2","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211921/0/120/90/c013534bbbd2cb7a123d011d393d413a/16/a843c0d2e95462d439a9ba94667d99c5/262211921.JPG","R2190294","S","114 4510 SUNSHINE COAST HIGHWAY","VSCSD","$252,500","7/18/2017","8","2","2","1,078","2004","13",,,"1","MANUF","1ST","6","Sunshine Coast","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261889254/0/120/90/36f1ded3d9e3b836fd8913586f2fa85b/16/94feb15edfd7bf1515ccec331931ad5f/261889254.JPG","V1134082","S","414 EAST POINT ROAD","VISST","$255,000","7/7/2015","735","0","1","700","1980","37",,,"1","HOUSE","RANBG","3","Islands-Van. & Gulf","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262191667/0/120/90/16264daf1414205104cb68cd96765d68/16/33da4148ff70856746c3d2c6aa24faec/262191667.JPG","R2170040","S","347 WOOD DALE DRIVE","VISMA","$296,500","5/18/2017","47","4","2","2,175","1981","36","0.00",,"1","HOUSE","2ST","9","Islands-Van. & Gulf","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262210651/0/120/90/ebeae04780eff81500c14cd1e0f6b0de/16/bb8c0f6bc0ccd6cf4df43a291d4a6c0e/262210651.JPG","R2189024","S","4337 RIVER ROAD","VLDPG","$300,000","7/17/2017","9","1","1","800","2010","7","0.00","0.0","1","HOUSE","2ST","5","Ladner","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157534/0/120/90/483bea572243687a97d95aa8363aaa8a/15/662f1e8d80b9c9850b566f70ac85a8e7/262157534.JPG","R2135907","S","B 3022 N COZEN POINT","VPINM","$330,000","1/31/2017","169","1","1","1,054","1986","31","100.00","155","1","RECRE","1ST+","6","Pitt Meadows","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183063/0/120/90/84369a7911bd9c94ed2e03fa322a90f0/16/b6f25be797de1eb6bc722311784a9925/262183063.JPG","R2161436","S","5182 WESJAC ROAD","VSCPE","$372,500","4/28/2017","80","2","1","1,020","1991","26","54.40","162.6","1","HOUSE","1ST, RANBG","6","Sunshine Coast","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122665/0/120/90/689566d323f5c7aad2fae863e3b23b0e/16/0d46ddc45e5807ab231c5a5beab32580/262122665.JPG","R2101038","S","33 SEAVIEW TERRACE","VISGL","$376,000","8/11/2016","329","2","1","1,210","1980","37","198.00","287","1","HACR","RANBG","8","Islands-Van. & Gulf","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260852654/0/120/90/4ec5da3608c28caae9e183f4d1f59cd6/16/5b279eaa82399d53870dad7390f72409/260852654.JPG","V1053724","S","250 SPINNAKER ROAD","VISMA","$400,000","3/18/2014","1207","3","3","2,116","1977","40","95.00",,"1","HOUSE","3LEV","11","Islands-Van. & Gulf","2","1"
