"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170904/0/120/90/113a60dc67f3347d42311a25c12d5838/15/9b687f927776ac9ccdc0c05c47b249bc/262170904.JPG","R2149277","S","32 21163 LOUGHEED HIGHWAY","VMRSW","$16,000","3/21/2017","5","2","1","672","1971","46","0.00",,"1","MANUF","MANUF","4","Maple Ridge","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161108/0/120/90/7eec0e7728a943ede8cfce0cef83463e/15/fb4420b5f300bd1b1104451f984169e5/262161108.JPG","R2139481","S","44 21668 LOUGHEED HIGHWAY","VMRWC","$22,000","2/17/2017","28","2","1","850","1973","44",,,"1","MANUF","RANBG","5","Maple Ridge","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127099/0/120/90/c483f06f1b2d58d461f2f6ed76a334c8/16/cd90fd2157f9db27f5556b0690cf2308/262127099.JPG","R2105472","S","#15 12907 SHARK LANE","VSCPE","$38,000","9/3/2016","179","1","1","633","2000","17","22.00","36","1","RECRE","OTHER","4","Sunshine Coast","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262168788/0/120/90/45608ef4e4d2fab432cb22c63cb7fa1c/16/927ccbcd2a671253730643b9d2ac768c/262168788.JPG","R2147161","S","32 12868 229TH STREET","VMREC","$72,000","3/16/2017","15","2","1","720","1974","43",,,"1","MANUF","MANUF","4","Maple Ridge","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155924/0/120/90/c11153644f84662573443843eb1df6ba/16/eebdd61d70c3fe13f1ae3382f8c733a5/262155924.JPG","R2134297","S","134 1830 MAMQUAM ROAD","VSQGE","$85,000","1/25/2017","38","3","1","742","1980","37",,,"1","MANUF","MANUF","6","Squamish","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144011/0/120/90/3d6505b0e7b69a4fee7c764324d29a22/16/9a238db2abd50b3d4bbc97f2d66a7211/262144011.JPG","R2122384","S","20 240 HARRY ROAD","VSCGB","$88,000","11/9/2016","103","2","1","672","1973","44",,,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262167264/0/120/90/ef13ea85cff56fe853dae2256cef9905/16/0985c4942ad34fa995346c661e1dd557/262167264.JPG","R2145637","S","34 40157 GOVERNMENT ROAD","VSQGE","$97,500","3/10/2017","4","3","1","860","1975","42",,,"1","MANUF","1ST, MANUF","7","Squamish","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262164802/0/120/90/fc2a0e82aaaa84d4ffc88668d7eddb43/16/622d051e850cdd3d6a2c71cb6e52198b/262164802.JPG","R2143175","S","119 201 CAYER STREET","VCQML","$105,000","3/1/2017","3","2","1","980","1975","42","0.00","0","1","MANUF","MANUF","5","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262169137/0/120/90/b97517821cf34be48109c3119c808b4d/16/bd4ebac1317ba587d9f7519d2a6dd0a9/262169137.JPG","R2147510","S","287 201 CAYER STREET","VCQML","$155,000","3/17/2017","3","2","2","987","1971","46",,,"1","MANUF","MANUF","9","Coquitlam","2","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166728/0/120/90/f33e6c002d7b0e6afbfbcaf3b4291b8f/16/0aa7cc5e6295bbeae8abef2ff9095e3d/262166728.JPG","R2145101","S","10 1123 FLUME ROAD","VSCRC","$169,900","3/8/2017","20","2","1","924","1980","37",,,"1","MANUF","CORNU","5","Sunshine Coast","1","0"
