"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181828/0/120/90/6ccb8791113983879eb0164770c91573/16/dd7107f0d117537e55c9e88b5529354b/262181828.JPG","R2160201","S","41 23320 CALVIN CRESCENT","VMREC","$71,000","4/26/2017","13","1","1","880","9999","999","0.00",,"1","MANUF","1ST","6","Maple Ridge","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262178971/0/120/90/b90e338a090f8024887fde97bc384e76/16/1509921cccb6102e54c69df89580296f/262178971.JPG","R2157344","S","8 12793 MADEIRA PARK ROAD","VSCPE","$85,000","4/18/2017","30","2","1","672","1980","37",,,"1","MANUF","RANBG","5","Sunshine Coast","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132963/0/120/90/7741410bfc559f97ee805bdf390699eb/16/009729a0ce991272830fd7b93b6b3afc/262132963.JPG","R2111336","S","988 WEST BAY ROAD","VSCGM","$110,000","9/21/2016","229","0","0","192","9999","999","132.00","263","0","RECRE","OTHER","1","Sunshine Coast","0","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189701/0/120/90/85bb67228a29b7d714ae9089081cf67e/16/1b89b60d2eac92cde5ec07e554360cb7/262189701.JPG","R2168074","S","18 23000 DYKE ROAD","VRI90","$117,500","5/18/2017","4","2","2","1,330","1984","33","0.00","0.0","1","OTHER","FLOAT","7","Richmond","1","1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183100/0/120/90/58b33e6c010836df7f501e3e5a4edb38/16/18970afee2a353bc74e6a68d45f959b8/262183100.JPG","R2161473","S","10 23000 DYKE ROAD","VRI90","$118,000","4/29/2017","14","1","1","790","1984","33","0.01",".01","1","HOUSE","2ST, FLOAT","5","Richmond","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262186447/0/120/90/ab90c83df77be4e5c8c16f17e228de04/16/282b80a819dc45c0c4d02d4692dfa068/262186447.JPG","R2164820","S","18 7370 HIGHWAY 99","VPEPE","$120,000","5/8/2017","4","2","1","960","1977","40",,,"1","MANUF","MANUF","5","Pemberton","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185441/0/120/90/c0e0c6d3c2b3c980ddca9512f7d595ef/16/f0f42edae6098acb4fc026128dd8b862/262185441.JPG","R2163814","S","274 201 CAYER STREET","VCQML","$125,000","5/8/2017","16","2","1","1,108","1971","46","0.00","0.00","1","MANUF","RANBG","8","Coquitlam","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262134093/0/120/90/700b58b99031839eba021dc18ab440bc/16/ce4d8c2663bae37c434a370c9cbd9c3e/262134093.JPG","R2112466","S","9 JOHNSON BAY","VNVIA","$140,000","9/27/2016","216","3","1","750","1970","47","100.00",,"1","HOUSE","1ST","5","North Vancouver","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147695/0/120/90/29b179d2ed4fc4367fa74315e351b2e5/16/9314f030d4d6f425a86e9cf31a95049c/262147695.JPG","R2126068","S","BLOCK D JAKES LANDING","VSCPE","$150,000","11/29/2016","182","1","1","900","1992","25","89.00","246","1","HOUSE","1ST","4","Sunshine Coast","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262184543/0/120/90/4dcdc1f15b6940bb521bb9f264299673/16/259acf7d26e536f38e1a03da27592c19/262184543.JPG","R2162916","S","297 201 CAYER STREET","VCQML","$165,000","5/3/2017","5","3","1","1,007","1973","44",,,"1","MANUF","EUNIT, MANUF","6","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148101/0/120/90/cae1cecb173eb242a9334e77898accc3/16/894a895ba21ef3514fdba18bd8d40aa9/262148101.JPG","R2126474","S","70 1413 SUNSHINE COAST HIGHWAY","VSCGB","$190,000","12/1/2016","152","3","2","1,152","1974","43","0.00",,"1","MANUF","MANUF","7","Sunshine Coast","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262187725/0/120/90/ec5525955dd4a26126b060c5cc321c01/16/0a54346dea8c76e7e382d26c20adb551/262187725.JPG","R2166098","S","88 19632 PLANETREE LANE","VPICM","$285,500","5/12/2017","14","2","2","924","9999","999","0.00",,"1","MANUF","MANUF","4","Pitt Meadows","2","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262192017/0/120/90/1fa6d73a1ededcb9a482d614b0e2c6c3/16/7ff12180439bd177288afc968d99699c/262192017.JPG","R2170390","S","159 19681 PONDEROSA PLACE","VPICM","$296,500","5/24/2017","6","2","1","924","1997","20","0.00",,"1","MANUF","MANUF","4","Pitt Meadows","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189572/0/120/90/87155ea5163815c1ab06c30ec0a7a58f/16/e4a4a111a18f1710b9bd76ae0d92ca75/262189572.JPG","R2167945","S","756 CASCADE CRESCENT","VSCGB","$299,000","5/18/2017","0","2","1","700","1974","43","50.00","120","1","MNFLD","1ST","5","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262131221/0/120/90/bd2c751d6c8fd22de7a0610c7bec48fd/16/ee12a7ac9d22ab501daf4e03cf9dce21/262131221.JPG","R2109594","S","966 NORTH ROAD","VSCGB","$310,000","9/16/2016","230","3","1","1,174","1978","39","114.00","IRR","1","MNFLD","MANUF, RANBG","8","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262168948/0/120/90/db954f5dd671db7f63510e83c25db708/16/a1816c28269b6bd8c1b64f431f292d47/262168948.JPG","R2147321","S","8 3350 WESTHAM ISLAND ROAD","VLDWI","$310,000","3/16/2017","47","2","1","1,250","9999","999","0.00","0","1","HOUSE","FLOAT","5","Ladner","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185242/0/120/90/264d43e5d0b012b86db358ef2efcc72b/16/eeb3f9ebac89df16d0bffd7a8383787d/262185242.JPG","R2163615","S","13054 NARROWS ROAD","VSCPE","$320,000","5/4/2017","23","2","2","938","2007","10","62.31","177.0","1","MANUF","MANUF","7","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057281/0/120/90/30cf61a73916331ca88ec272145723c7/16/f2a3aae1c76781dccf729c6b53a9957f/262057281.JPG","R2035654","S","77 ESPLANADE ROAD","VSCKE","$325,000","2/15/2016","448","2","1","768","1987","30","72.80",,"1","HOUSE","1ST+","4","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262091924/0/120/90/44dcfe9e4e0e022eb08f0dc80bfa5823/16/a40bca77c8042a5bf22e4d2d4e0e0079/262091924.JPG","R2070297","S","11640 SUNSHINE COAST HIGHWAY","VSCPE","$340,000","5/16/2016","353","2","1","900","1955","62","92.00","660","1","HACR","1ST","6","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262171597/0/120/90/3eb36d7daae60e580d7bbbafdbe0ffcb/16/c6bd2988d5716841e00de7aa7fbc9511/262171597.JPG","R2149970","S","160 MANZANITA HILL ROAD","VISGL","$342,000","3/23/2017","52","2","1","640","2005","12",,,"1","HACR","1ST, RANBG","4","Islands-Van. & Gulf","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262186956/0/120/90/89c9c1d07a7ad95a71b38e78549de1b2/16/36ac00b14089e1648ceb7a5b052684c9/262186956.JPG","R2165329","S","9467 PORTAGE ROAD","VPEBI","$345,000","5/8/2017","2","3","3","2,930","1998","19","316.07",,"1","MNFLD","2ST","7","Pemberton","2","1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189567/0/120/90/ecdbd97a09f2e6f647e4fdf2b3ac1f2d/16/c0ec251caaa34472fbde969800edd27a/262189567.JPG","R2167940","S","8048 WILDWOOD ROAD","VSCHB","$353,000","5/18/2017","7","1","1","400","1975","42","125.00","200","1","HACR","1ST","4","Sunshine Coast","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262172282/0/120/90/63d9adc63d56fd8d12e174b446a776ef/16/34611a6bd63d95e199e18a00485dcf0d/262172282.JPG","R2150655","S","9229 PEMBERTON PORTAGE ROAD","VPEBI","$369,000","3/27/2017","57","2","2","1,934","1997","20","261.67",,"1","HACR","2ST","5","Pemberton","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156717/0/120/90/d5d35104732ebcad1d36512b72bc3748/16/7fb12b5f28e6117b3309e28e38224eae/262156717.JPG","R2135090","S","12987 STONE ROAD","VSCPE","$379,000","1/27/2017","116","2","2","924","2004","13","219.00","344","1","MNFLD","MANUF","4","Sunshine Coast","2","0"
