"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238673/0/120/90/6db5989cbd9f6d136e7b4d96ccb42440/16/d9c428620cdfa6f352ad4ce4429ef8dd/262238673.JPG","R2217046","S","68 201 CAYER STREET","VCQML","$50,000","10/20/2017","16","2","1","576","1971","46",,,"1","MANUF","1ST","4","Coquitlam","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262223958/0/120/90/a0c1f709ccd86ed35611a9bc35b64e5f/16/2e11c3643fd757feabf42371d3c29824/262223958.JPG","R2202331","S","33 23325 CALVIN CRESCENT","VMRNO","$69,000","9/5/2017","63","1","0","520","1959","58","0.00","0","1","MANUF","RANBG","3","Maple Ridge","0","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262215079/0/120/90/c1e8fcbd22fdfe7f3354e84e43368e0b/16/58ce935c5a32c3098f1a124b8098d581/262215079.JPG","R2193452","S","18 4496 SUNSHINE COAST HIGHWAY","VSCSD","$101,000","7/31/2017","114","2","1","763","1972","45",,,"1","MANUF","MANUF","6","Sunshine Coast","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203445/0/120/90/637ecdd3a5b45f48d246ae47d075f5ea/16/f069568d9aa3ee02fb0087e754da08f7/262203445.JPG","R2181818","S","7377 TAPP ROAD","VSCHB","$129,000","6/25/2017","158","2","1","925","2006","11",,,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262225216/0/120/90/8d937795c67c5993eacee764d2cd4bb7/16/a161f064fc48d32d918b3495ce3c1435/262225216.JPG","R2203589","S","LOT 98 LILLOOET LAKE ESTATES","VPEPE","$130,000","9/1/2017","66","2","1","808","9999","999","85.00","187","1","RECRE","1ST+","4","Pemberton","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262243139/0/120/90/1e967115214a7e8172f894d8f42b9af3/16/4cc71f947194d1ad666aef898e511454/262243139.JPG","R2221512","S","242 201 CAYER STREET","VCQML","$164,000","11/9/2017","8","3","2","1,152","1973","44",,,"1","MANUF","MANUF","8","Coquitlam","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262243167/0/120/90/f462423e31d649fe5ce041acd40f6291/16/d8f804450b249594e860df916bf387ff/262243167.JPG","R2221540","S","22 7370 99 HIGHWAY","VPEPE","$184,000","11/10/2017","4","2","1","874","1997","20",,,"1","MANUF","1ST","4","Pemberton","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262243934/0/120/90/a350574cd299971e23dd12bc4c393238/16/7567b086c0e1b4a05379ed6732f0a455/262243934.JPG","R2222307","S","518 TYEE COURT","VWVPR","$190,000","11/15/2017","4","2","2","1,352","1984","33",,,"1","MANUF","MANUF","8","West Vancouver","2","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262243315/0/120/90/d203fdb87a476b152ae085eab907485d/16/e305497fddb79e62b2fd46f480e4037c/262243315.JPG","R2221688","S","146 145 KING EDWARD STREET","VCQML","$194,900","11/11/2017","6","3","2","1,152","1989","28","0.00","0","1","MANUF","MANUF","7","Coquitlam","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262240347/0/120/90/73835b46b48d6402a84e4163948cde99/16/817dfe2d462f3175e23174f97c398328/262240347.JPG","R2218720","S","674 WILKS ROAD","VISMA","$202,000","10/30/2017","11","1","1","560","9999","999","154.93","642.42 ft","1","HOUSE","1ST","4","Islands-Van. & Gulf","0","1"
