"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262175662/0/120/90/cedb19eb4a82aeffba4e09aee1463ec5/16/c0e6f95312335d1dcb3db11f250cebdb/262175662.JPG","R2154035","S","23 1413 SUNSHINE COAST HIGHWAY","VSCGB","$83,900","4/6/2017","200","2","2","940","1972","45",,,"1","MANUF","1ST, RANBG","8","Sunshine Coast","2","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262233949/0/120/90/389333b37b4c4eff60742b681eef9675/16/0b6127e0fbe16d3ef43730caa43ff308/262233949.JPG","R2212322","S","4 12868 229 STREET","VMREC","$85,000","10/3/2017","2","2","1","709","1972","45",,,"1","MANUF","1ST","5","Maple Ridge","1","0"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262236825/0/120/90/837450104868353ebae3b226689a0e2a/16/9783af19ac39cda6cd57f36b96d85ed0/262236825.JPG","R2215198","S","5326 CEDARRIDGE PLACE","VSCPE","$93,000","10/17/2017","5","1","1","1,331","2003","14","133.55","42.78","1","HOUSE","2ST","5","Sunshine Coast","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262224275/0/120/90/60268a4e0c3f45e9d0854c1f0550752f/16/5b4802f1841f0c962bd0f9a3dfb1c4ff/262224275.JPG","R2202648","S","99 201 CAYER STREET","VCQML","$136,000","9/5/2017","27","2","1","864","1973","44",,,"1","MANUF","1ST","5","Coquitlam","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262228557/0/120/90/fbf1273fe0baf86077b0ebcea7ba4a69/16/c6abac90b54be9fd313c9caff525779e/262228557.JPG","R2206930","S","278 201 CAYER STREET","VCQML","$137,000","9/18/2017","13","2","1","843","1974","43",,,"1","MANUF","1ST, MANUF","6","Coquitlam","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262224985/0/120/90/b2fbbce9d47451e332e3e8e0843b0afe/16/0b5eeb51334aaf1363bbb2ce409c787f/262224985.JPG","R2203358","S","39 7370 HIGHWAY 99","VPEPE","$145,000","9/5/2017","52","2","1","924","1996","21",,,"0","MANUF","MANUF","3","Pemberton","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262237298/0/120/90/2520bef51d52b74143a560cde0a4a86e/16/5e5791340102c7e0880bdac066cdc300/262237298.JPG","R2215671","S","244 HIAWATHA DRIVE","VWVPR","$149,800","10/19/2017","1","2","1","1,093","1967","50",,,"1","MANUF","MANUF","7","West Vancouver","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231760/0/120/90/de2e781c84baa1127775e356ac8ac7c6/16/b33ba77cc2e6a40023d66d0e7347f905/262231760.JPG","R2210133","S","66 147 KING EDWARD STREET","VCQML","$150,500","9/26/2017","11","2","1","924","1986","31",,,"1","MANUF","MANUF","5","Coquitlam","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262235756/0/120/90/855df017ec331f5402834f789b96f12f/16/87f2a2236a45ff48332366f046445619/262235756.JPG","R2214129","S","36 4116 BROWNING ROAD","VSCSD","$164,000","10/12/2017","14","2","1","924","1989","28",,,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262225400/0/120/90/01916481dddda81951611d131a5b9b45/16/e0db92c8424c4e13b938be4b55e356a0/262225400.JPG","R2203773","S","8 39768 GOVERNMENT ROAD","VSQNY","$164,900","9/8/2017","43","2","1","757","1976","41",,,"1","MANUF","1ST","4","Squamish","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262182571/0/120/90/ed6b3719c7fccfa8e738dafbc4d06c82/16/c9dc6add6f4db7bf9fd8cbf97e817d57/262182571.JPG","R2160944","S","349 PARK AVENUE","VSCKE","$170,000","4/28/2017","177","2","1","750","1973","44","50.00","160 IRR","1","HOUSE","RANBG","5","Sunshine Coast","0","1"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262226240/0/120/90/fdf2be42c143e5bcdb1e46f704c45306/16/f0aef9721c801c6d285b238ecbca0183/262226240.JPG","R2204613","S","49 1413 SUNSHINE COAST HWY","VSCGB","$185,000","9/11/2017","22","3","2","1,144","2016","1",,,"1","MANUF","1ST, RANBG","9","Sunshine Coast","1","1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262226395/0/120/90/005cb0aff4e821e1fdbe273885d8ee15/16/27ab0333115a7524bbe49f7dad44ad51/262226395.JPG","R2204768","S","96 1830 MAMQUAM ROAD","VSQGE","$185,000","9/12/2017","47","2","1","864","1975","42",,,"1","MANUF","MANUF","4","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262228654/0/120/90/70cb55a4aac635f5531e5b27e8939658/16/be8e46966aff900e853ed6aab942dee0/262228654.JPG","R2207027","S","1 5302 SELMA PARK ROAD","VSCSD","$185,000","9/16/2017","19","2","1","800","1975","42",,,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262239739/0/120/90/c519dbbf18f142fb12ded7d4aa1d8054/16/cccb4ed75040e2e9de5d3db741276347/262239739.JPG","R2218112","S","28 7370 HIGHWAY 99","VPEPE","$189,000","10/27/2017","2","2","1","784","2016","1",,,"1","MANUF","1ST","4","Pemberton","1","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203480/0/120/90/add2dd62581e0e1ddcecef95de707970/16/47eb1158fbbdfe7f0a369e8ca6a233b7/262203480.JPG","R2181853","S","15 4514 SUNSHINE COAST HIGHWAY","VSCSD","$215,000","6/25/2017","111","2","2","975","9999","999",,,"1","MANUF","MANUF","6","Sunshine Coast","2","0"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262204756/0/120/90/4ca007dec69ee29c75ef9ef8a85fd9be/16/317a71c8650f473fcc2b4bcb55b13882/262204756.JPG","R2183129","S","Lot 49 LILLOOET LAKE ESTATES","VPELL","$220,000","6/27/2017","98","2","2","1,536","1996","21",,,"1","RECRE","2ST","6","Pemberton","2","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231681/0/120/90/47adb0c48610d6b7e82c459fad4b877c/16/bb54fb109e194848cb7587787e18041c/262231681.JPG","R2210054","S","1052 ROSAMUND ROAD","VSCGB","$252,500","9/24/2017","21","3","1","1,200","9999","999","71.00","215","1","HOUSE","RANBG","5","Sunshine Coast","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145587/0/120/90/23db153d4e2f8ba3a2584b60af4323cb/16/c90ad4f39821553ca1b6add9b97ce391/262145587.JPG","R2123960","S","341 MAINSAIL LANE","VISMA","$337,000","11/14/2016","321","1","1","640","2013","4","135.00","166","1","HOUSE","1ST+","5","Islands-Van. & Gulf","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121659/0/120/90/f2a27eeab468d7d378d04c2463c90960/16/2748240cd8423ab74efb6767a7dcde62/262121659.JPG","R2100032","S","262 MANZANITA HILL ROAD","VISGL","$339,000","8/9/2016","430","3","1","1,660","1965","52","120.00","203","1","HOUSE","1ST+","9","Islands-Van. & Gulf","0","1"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203874/0/120/90/1874af1d860aed764a55c097bff902ac/16/d8c58a7776cd48936b5de7cbb7e897a4/262203874.JPG","R2182247","S","4598 ESQUIRE DRIVE","VSCPE","$345,000","6/26/2017","114","0","2","924","9999","999",,,"0","HACR","MANUF","1","Sunshine Coast","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262202707/0/120/90/a30e86cf38eebbad25e00e9bed3c1a32/16/825ae928bb04f09e5faf56f792fb07ff/262202707.JPG","R2181080","S","141 SEAVIEW AVENUE","VISSS","$355,000","6/21/2017","131","3","1","1,114","9999","999","0.00","0","1","HOUSE","1ST","7","Islands-Van. & Gulf","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262224475/0/120/90/edc0f66498921609979e4c1b958e0a29/16/d5c45ad312fdee8535c706f1aa62bfed/262224475.JPG","R2202848","S","4369 COASTVIEW DRIVE","VSCPE","$369,000","9/5/2017","33","2","2","776","2007","10","33.00",,"1","HOUSE","RBLFT","4","Sunshine Coast","2","0"
