"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262283339/0/120/90/33571e223ef27b7c60acae5d9568ced0/16/8de73ce68e00c64bf78298a7629d635e/262283339.JPG","R2261712","S","63 3295 SUNNYSIDE ROAD","VPMAN","$82,500","4/26/2018","2","3","1","924","1983","35","0.00","0","1","MANUF","MANUF","6","Port Moody","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273122/0/120/90/fd5bd25d7bd5c94ab0ea425a99c198bc/16/aa23a28792fa05ad621e66d691b3adc8/262273122.JPG","R2251495","S","115 201 CAYER STREET","VCQCC","$180,000","3/27/2018","7","2","1","864","1973","45",,,"1","MANUF","MANUF","6","Coquitlam","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281174/0/120/90/06b5cba444886e9997c61eb66bfa701c/16/a5f51a46e137e98043beff89f39907ed/262281174.JPG","R2259547","S","20 5575 MASON ROAD","VSCSD","$195,000","4/20/2018","8","2","1","938","1995","23","0.00","00.0","1","HOUSE","MANUF, RANBG","5","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281037/0/120/90/6aebf49c60d1c916f9f58d8ce7fd5a75/16/1ec102e0bd6e70bcd356389adb104b30/262281037.JPG","R2259410","S","7 4116 BROWNING ROAD","VSCSD","$199,500","4/18/2018","3","2","1","1,015","1981","37","0.00","00.0","1","MANUF","RANBG","5","Sunshine Coast","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271971/0/120/90/65f27b7b0e613345a612877ee21cd311/16/e0527cc4366d8998fba41dbdbf12ceba/262271971.JPG","R2250344","S","100A 1413 SUNSHINE COAST HIGHWAY","VSCGB","$219,000","3/22/2018","21","2","2","1,152","1976","42",,,"1","MANUF","MANUF","6","Sunshine Coast","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262275625/0/120/90/8698006d8436b6339526ce1e55ef5b19/15/6a3f14fec28c84722975b8b0791699ea/262275625.JPG","R2253998","S","134 145 KING EDWARD STREET","VCQML","$225,000","3/27/2018","11","2","1","924","1986","32","30.00","100","1","MANUF","RANBG","4","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262280124/0/120/90/81d757a5eab95be5adda0ba455279c0d/16/50301b2e0d72dcfc3820a592c0919543/262280124.JPG","R2258497","S","441 RAINDANCE CRESCENT","VWVPR","$232,000","4/18/2018","3","1","1","1,049","1968","50",,,"1","MANUF","MANUF","6","West Vancouver","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262280777/0/120/90/a8fecfdba1f3389cfb389d4959dbc645/16/544fe10848213b2c519fa9a6cf22d42c/262280777.JPG","R2259150","S","4488 HUPIT STREET","VSCSD","$238,500","4/17/2018","3","2","2","1,279","1974","44","75.00","100","1","MANUF","RANBG","8","Sunshine Coast","2","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262280867/0/120/90/98b491d131c8c3302d6c4f615c9ebf04/16/2c754928f43a52dda87026e062995c80/262280867.JPG","R2259240","S","11 4116 BROWNING ROAD","VSCSD","$249,000","4/18/2018","12","2","2","1,218","1990","28",,,"1","MANUF","MANUF, RANBG","6","Sunshine Coast","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262272103/0/120/90/265d41435eb1e5f55008761ef76a410c/16/f2455224dd64fe38296dfa627885198b/262272103.JPG","R2250476","S","22 40022 GOVERNMENT ROAD","VSQGE","$250,000","3/24/2018","25","2","1","840","2018","0",,,"1","MANUF","MANUF","5","Squamish","1","0"
