"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250444/0/120/90/0d526794a549baa3d673cf2157df86b1/16/38bb76bebad308b9b4b2477327bd3b53/262250444.JPG","R2228817","S","9 12868 229TH STREET","VMRSW","$67,000","12/15/2017","64","2","1","720","1974","44",,,"1","MANUF","1ST","4","Maple Ridge","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263482/0/120/90/463d456904fb41e59c85aa9dc51cae4a/16/79f8c64e83feb3e0384ab8af70667805/262263482.JPG","R2241855","S","16 1413 SUNSHINE COAST HIGHWAY","VSCGB","$92,500","2/20/2018","4","2","1","720","1973","45",,,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262125/0/120/90/bb009efbf780b7753593612eab1f9c77/16/99a2a74438ddc07f24a3a2d3ddf7fb7d/262262125.JPG","R2240498","S","130 1830 MAMQUAM ROAD","VSQGE","$135,000","2/13/2018","15","4","1","900","9999","999",,,"1","MANUF","1ST","6","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262218602/0/120/90/f872cd58be7d3a97dbbfa91eea077d47/16/cb4cd09210a6d45d0c4c4a39c03ef88a/262218602.JPG","R2196975","S","130 1830 MAMQUAM ROAD","VSQGE","$135,000","8/11/2017","200","3","1","910","9999","999",,,"1","MANUF","1ST","6","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231176/0/120/90/767679815e8a9abab9b6a846f02954cd/16/2d6a95c6f9ba6bcbc4d4775aac01c8d1/262231176.JPG","R2209549","S","LOT 97 IN SHUCK CH FOREST SERVICE ROAD","VPELL","$143,500","9/21/2017","140","1","1","754","9999","999","85.00","192","1","RECRE","RBLFT","5","Pemberton","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247776/0/120/90/3b33edd5f914272e4893108657c11f92/16/88e2b4c1e7a6b031b9a057544bc1df2c/262247776.JPG","R2226149","S","37 40157 GOVERNMENT ROAD","VSQGE","$200,000","11/29/2017","87","3","1","1,091","1981","37",,,"1","MANUF","MANUF","7","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260336/0/120/90/6e1d86d8bcfff450e40bd64901d7a086/16/a658a5dd31c64b27ddcb40da8dae2be3/262260336.JPG","R2238709","S","42 7370 HIGHWAY 99","VPEPE","$202,000","2/8/2018","6","2","2","1,088","1996","22",,,"1","MANUF","MANUF","6","Pemberton","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253886/0/120/90/bd1b299b4a26d3defa99c50adecce291/15/65d894dba63261dba169dc494fb49a72/262253886.JPG","R2232259","S","32 145 KING EDWARD STREET","VCQML","$245,000","1/15/2018","26","2","2","1,248","1986","32",,,"1","MANUF","MANUF","9","Coquitlam","2","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220456/0/120/90/f8178f0d83fcb826201683eceb7a6ebb/16/61960e3bc48030426eac8fa2d678f5fe/262220456.JPG","R2198829","S","275 WOOD DALE DRIVE","VISMA","$395,000","8/18/2017","182","4","3","2,720","1993","25",,,"1","HOUSE","3ST, SPLIT","12","Islands-Van. & Gulf","2","1"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260390/0/120/90/c6327bc67dfdeee1d680278b4f619640/16/4442b064106cbfe3d2da7d5e8c196a42/262260390.JPG","R2238763","S","10484 IN SHUCK CH FSR","VPELL","$403,500","2/6/2018","9","2","1","994","1970","48","100.00",,"1","RECRE","1ST","5","Pemberton","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254727/0/120/90/15fefc4dcd74f5c7c931aad51af01386/16/2d2e2b6f9451bedd7bdf8513dbb9c701/262254727.JPG","R2233100","S","13514 LEE ROAD","VSCPE","$409,000","1/18/2018","14","2","2","890","2007","11","0.51",,"1","HOUSE","2ST","4","Sunshine Coast","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260513/0/120/90/2670605466eadd60dc386feda62a7d35/16/d96dc1feb050515a5250d571fb55fcb9/262260513.JPG","R2238886","S","7980 WILDWOOD ROAD","VSCHB","$421,500","2/10/2018","1","2","2","950","2006","12","0.00","0.00","1","MANUF","MANUF","6","Sunshine Coast","2","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253279/0/120/90/311b56f499ea73ff0adfde0d9daa7cc9/16/8bafe0bab1906ff39a948ee1d83ca6ce/262253279.JPG","R2231652","S","5728 MEDUSA STREET","VSCSD","$440,000","1/11/2018","30","3","2","1,165","1979","39","68.00","120","1","HOUSE","RANBG","6","Sunshine Coast","1","1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260669/0/120/90/ded6c0f834acb96d184eb749a9d85945/16/dd55bbe22fa8c7580f069853bc1684a4/262260669.JPG","R2239042","S","4107 SALISH DRIVE","VVWUL","$480,000","2/12/2018","0","4","4","3,339","1974","44","0.00","IRR","2","HOUSE","RBBMT","12","Vancouver West","3","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254351/0/120/90/ceeda8a10d39d431fcac1a75854108c6/16/622fbcec983e2143c6efdd368154f065/262254351.JPG","R2232724","S","6083 FAIRWAY AVENUE","VSCSD","$480,000","1/16/2018","29","3","2","1,407","2005","13","80.00","100","1","MNFLD","RANBG","8","Sunshine Coast","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260183/0/120/90/ee50bfcfb9a62226d4d923ba7998d215/16/b46bb9ae57c41d5e2de2206207392296/262260183.JPG","R2238556","S","5609 TRAIL AVENUE","VSCSD","$495,000","2/7/2018","3","3","1","1,260","1978","40","60.00",,"1","HOUSE","1ST, RANBG","8","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252330/0/120/90/c2362af997cd8eb1fe3f8503638ae6de/16/f6cea87e1508cf00c9a888849928505b/262252330.JPG","R2230703","S","E26 8331 RIVER ROAD","VRI11","$525,000","1/8/2018","46","2","2","2,061","1976","42","30.00","40","1","HOUSE","FLOAT","13","Richmond","1","1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260730/0/120/90/66d6e4dc9577e3553c19a75e154d7424/16/2afbe145594fd312fb8170b1aa57fc57/262260730.JPG","R2239103","S","6113 S GALE AVENUE","VSCSD","$540,000","2/11/2018","8","2","1","1,097","2005","13","76.00",,"1","HOUSE","RANBG","5","Sunshine Coast","1","0"
