"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260674635/0/120/90/3c49f7c546ed1d9ccbdf276b4010de18/16/a6746578af0173017e88961e51c92a2f/260674635.JPG","V1037952","S","617 1128 W HASTINGS STREET","VVWCB","$135,000","11/29/2013","426","1","1","285","1997","16",,,"$9.50","Apartment/Condo","PETY, RENY"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261414663/0/120/90/c5453e119bf0a481c323720a18c0bded/16/f8ffd6c7dfc82a5b89147368e8502666/261414663.JPG","V1096593","S","2003 1128 W HASTINGS STREET","VVWCB","$160,000","12/11/2014","129","1","1","293","1999","15",,,"$14.53","Apartment/Condo","NO"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261303750/0/120/90/d87b9e0ab00352a6225a235d3b9685ec/16/a7c860e416f86ea42825639ed944930b/261303750.JPG","V1089182","S","309 1055 HARWOOD STREET","VVWWE","$166,500","10/7/2014","88","0","1","412","1955","59","Y","0","$162.50","Apartment/Condo","AGER, PETR, RENN"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261335091/0/120/90/3272d9757c20328324a31e440b2c3375/16/f1c883a8020995c877399ab261c0b04f/261335091.JPG","V1091356","S","206 1565 BURNABY STREET","VVWWE","$190,000","10/23/2014","94","0","1","440","1947","67","Y",,"$176.00","Apartment/Condo","PETN, RENN"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","V1099604","S","303 1219 HARWOOD STREET","VVWWE","$195,000","1/10/2015","0","1","1","550","1967","48",,"0","$348.16","Apartment/Condo","PETY, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261445962/0/120/90/632037d5ea56616b7af1d18f9e59d338/16/d27407969ca4f685cbc109f1b394e8c9/261445962.JPG","V1099050","S","306 1565 BURNABY STREET","VVWWE","$205,000","1/12/2015","78","0","1","440","1947","68","Y","0","$180.00","Apartment/Condo","AGER, PETN, RENN"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261453332/0/120/90/b15cd4cf599e81279cd19268230c69c7/16/8fbd8021b64ce1e2f4a63e39519f7c2d/261453332.JPG","V1099676","S","206 1215 PACIFIC STREET","VVWWE","$205,000","1/15/2015","13","0","1","400","1977","38","Y",,"$168.00","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261739152/0/120/90/ab1fbd442ccbb9cc4d4b30e31dec1876/16/85a8a5912636c4efe17ae55476f20f70/261739152.JPG","V1122872","S","406 1330 HARWOOD STREET","VVWWE","$215,000","5/14/2015","7","0","1","430","1970","45","Y",,"$206.95","Apartment/Condo","PETR, RENY"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261439175/0/120/90/a564f69cb55d713244ce00e5642473f8/16/7be88adfda4bed10c0669b097e4f84bf/261439175.JPG","V1098322","S","214 1655 NELSON STREET","VVWWE","$217,300","1/6/2015","3","0","1","429","1973","42",,,"$201.00","Apartment/Condo","PETY, RENY"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261407871/0/120/90/75be80a1b456e0e54a4109513e221cd9/16/8c355ad3f43500600eaa17f6913db396/261407871.JPG","V1096242","S","908 1720 BARCLAY STREET","VVWWE","$218,000","12/8/2014","94","1","1","577","1970","44","Y","0","$385.00","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261423736/0/120/90/32dc4d0bc7aa5dde2aecd3bc0a86f24d/16/7ddced7e8d47e3bd8a007e84aeb5774b/261423736.JPG","V1097110","S","412 1655 NELSON STREET","VVWWE","$229,800","12/18/2014","74","1","1","467","1973","41","Y","1","$220.26","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261537069/0/120/90/2aae80067d0dc490bbf7d817f3ca579f/16/c2e84d54f011b429d3e81a56be862d63/261537069.JPG","V1107229","S","510 1330 HORNBY STREET","VVWDT","$232,000","2/24/2015","34","0","1","408","1986","29","Y",,"$173.53","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261401879/0/120/90/0ca3e1c8c13707afffd17466f7635e9e/16/e11a8a291908df1b0a37b4f017c89cdf/261401879.JPG","V1096229","S","602 950 DRAKE STREET","VVWDT","$234,000","12/6/2014","68","0","1","460","1978","36","Y","1","$183.31","Apartment/Condo","PETN, RENY"
