"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261562535/0/120/90/513d2f6bd61b8c0084e9435bd63187c0/16/d98a141dc3c92dc51619cde1d8121bca/261562535.JPG","V1109385","S","705 1100 HARWOOD STREET","VVWWE","$192,000","3/4/2015","147","1","1","433","1965","50",,,"$234.17","Apartment/Condo","RENY"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261832876/0/120/90/c5c2daa49f88556f228229330cf9b40b/16/898a997c39307e27d39e240cd3607b64/261832876.JPG","V1130021","S","404 1100 HARWOOD STREET","VVWWE","$195,000","6/15/2015","27","1","1","430","1966","49","Y",,"$264.87","Apartment/Condo","PETY, RENY"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261847010/0/120/90/c0c2653228479743c199aaf6a8ff90d7/16/b958e6b04b05cbaab6bca58f4ed945a2/261847010.JPG","V1131020","S","801 1219 HARWOOD STREET","VVWWE","$200,000","6/24/2015","9","1","1","540","1967","48",,,"$354.23","Apartment/Condo","PETN, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261965193/0/120/90/15d21d7839f894332588dca68d7c2351/16/bbd33975405c5aa4b1942ec928bc29d8/261965193.JPG","V1139463","S","705 1250 BURNABY STREET","VVWWE","$201,150","8/17/2015","14","1","1","430","1966","49",,"0","$403.35","Apartment/Condo","PETN, RENY"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261942094/0/120/90/fb17e1d03f615cc8448beb81af4fcf45/16/d2ad1d9ea2fde973a78ea55840c9ac4e/261942094.JPG","V1137878","S","508 1100 HARWOOD AVENUE","VVWWE","$212,000","8/4/2015","6","1","1","433","1966","49","Y",,"$262.35","Apartment/Condo","PETY, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261782123/0/120/90/3bebf65a84d7e46a313a2dafa54149d5/16/4804129cf60a13f75a9c6d195be3b7c6/261782123.JPG","V1126134","S","908 1100 HARWOOD STREET","VVWWE","$215,000","5/29/2015","39","1","1","430","1965","50",,,"$262.35","Apartment/Condo","RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261999673/0/120/90/9b586888da09398505aba9e58da80324/16/89c2169230897cd01a28d0e437956ed6/261999673.JPG","V1141816","S","703 1100 HARWOOD STREET","VVWWE","$215,000","9/1/2015","8","1","1","540","1965","50","Y","0","$332.68","Apartment/Condo","PETR, RENY"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261818874/0/120/90/22d982b6eedbb60b919478a9dcf5103a/16/6810bd9ee5f0c8e03dca2e8ca3acdd9d/261818874.JPG","V1129216","S","506 1330 HARWOOD STREET","VVWWE","$221,000","6/15/2015","4","0","1","430","1973","42","Y","1","$206.95","Apartment/Condo","PETR, RENY"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261953096/0/120/90/6245b97d0da5f979e760e5f0a5314eb9/16/e3749c86209c7a41145f5419fb68e9c2/261953096.JPG","V1138713","S","103 1940 BARCLAY STREET","VVWWE","$221,000","8/9/2015","58","0","1","386","1958","57","Y",,"$205.26","Apartment/Condo","PETY, RENY"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261832560/0/120/90/9f25ddadc22884d3a55dc639812d7639/16/038195ee74382ecff1d880c17697c810/261832560.JPG","V1129999","S","209 1940 BARCLAY STREET","VVWWE","$222,000","6/18/2015","83","0","1","393","1958","57","Y",,"$182.01","Apartment/Condo","PETR"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261885512/0/120/90/36e59567c10f0d258106a0ca09acaecd/16/20617cbecfe1981d0141c65f147cae94/261885512.JPG","V1133869","S","803 1250 BURNABY STREET","VVWWE","$225,000","7/10/2015","41","1","1","540","1966","49",,"0","$527.89","Apartment/Condo","PETN, RENY"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","V1128095","S","305 1655 NELSON STREET","VVWWE","$226,000","6/8/2015","6","0","1","429","1974","41","Y","1","$202.82","Apartment/Condo","PETY, RENY"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261763290/0/120/90/bc84818adc5e9476cf8ccef22c34a3b4/16/10121427b8483665594768d97b3100a5/261763290.JPG","V1124645","S","115 1655 NELSON STREET","VVWWE","$227,000","5/25/2015","7","1","1","429","1973","42","Y","0","$202.82","Apartment/Condo","PETR, RENY"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261893089/0/120/90/31af5b133eb33b7e5250f21c90a19fb8/16/230696f4f64095bd47b62998c0a339fa/261893089.JPG","V1134403","S","503 1330 HORNBY STREET","VVWDT","$228,000","7/14/2015","33","0","1","408","1986","29","Y",,"$177.88","Apartment/Condo","PETN, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261832511/0/120/90/5585c3ff8027973558c7f7e6b3475ce0/16/1df963bba11d50bcf8d2720dd8c853c4/261832511.JPG","V1129991","S","210 1940 BARCLAY STREET","VVWWE","$230,000","6/18/2015","40","0","1","422","1958","57","Y","1","$195.45","Apartment/Condo","PETR"
