"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027347/0/120/90/c958c1f32caafbe00194370e3b5eeff1/16/1defb2508fa8bde77beb7c704779f2b3/262027347.JPG","R2005720","S","1103 1330 HARWOOD STREET","VVWWE","$201,250","10/1/2015","40","0","1","430","1970","45","Y","1","$220.00","Apartment/Condo","PETN, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2011490","S","1004 1250 BURNABY STREET","VVWWE","$206,000","10/26/2015","7","0","1","430","1966","49","Y",,"$400.65","Apartment/Condo","PETN, RENY"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261607884/0/120/90/d8c75133ce546afdd74abef763c89c02/16/0866fb0b55d3ec6e5769a43ea836ebd4/261607884.JPG","V1113031","S","301 1251 CARDERO STREET","VVWWE","$240,000","3/23/2015","258","1","1","641","1968","47",,"1","$397.00","Apartment/Condo","RENY"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034586/0/120/90/bbff76f24c9c08bf0dddf151edbeff3a/16/3a80b8296d2725cba228a796d3eab6f7/262034586.JPG","R2012959","S","1101 1720 BARCLAY STREET","VVWWE","$240,000","11/4/2015","2","1","1","560","1970","45","Y","1","$385.00","Apartment/Condo","PETN, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039055/0/120/90/8d60bc0aaaebc21eb1d6a412f804a98a/16/5c833fa71d941c57c1bad03483f1ddfa/262039055.JPG","R2017428","S","205 1565 BURNABY STREET","VVWWE","$255,000","11/25/2015","16","1","1","710","1947","68","Y",,"$269.00","Apartment/Condo","PETN, RENN"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261696082/0/120/90/1d367f449d74319f51a62584e66df744/16/4be584104f2db54625e4e6943a61fb14/261696082.JPG","V1119702","S","413 950 DRAKE STREET","VVWDT","$256,000","4/29/2015","189","0","1","407","1978","37","Y","0","$190.00","Apartment/Condo","PETN, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262040166/0/120/90/b85e2330abbf8a36ef2fe11fc756e97b/16/31e10d3ce177f651f123ec4230617dae/262040166.JPG","R2018539","S","208 789 DRAKE STREET","VVWDT","$276,000","11/30/2015","27","0","1","397","1991","25",,,"$195.29","Apartment/Condo","PETN, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261998085/0/120/90/06198547bd9073aacf084d21d6675325/16/afef98f190b5be2513232eb453a352ab/261998085.JPG","V1141677","S","714 1040 PACIFIC STREET","VVWWE","$278,000","9/1/2015","65","1","1","502","1981","34",,"0","$240.82","Apartment/Condo","PETR, RENR"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032017/0/120/90/748c958c80007a8e04e3eb73ad694d76/16/b994f5b3c606b5998f2572ae251b35c3/262032017.JPG","R2010390","S","704 910 BEACH AVENUE","VVWYA","$294,000","10/19/2015","24","0","1","418","1997","18",,"1","$215.50","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041044/0/120/90/07c60d240e18ab32e7ab8144dd2633e7/16/78fdd06b64de48225d0fbcd0e9953b8b/262041044.JPG","R2019417","S","1202 1100 HARWOOD STREET","VVWWE","$295,000","12/7/2015","7","1","1","610","1967","49","Y","1","$377.68","Apartment/Condo","PETY, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031295/0/120/90/4bf50df98a90235177eed93e365c511e/16/ea2f87d83aea568d7e0be9f66035d5b0/262031295.JPG","R2009668","S","803 950 DRAKE STREET","VVWDT","$295,000","10/20/2015","20","1","1","542","1978","37","N",,"$248.39","Apartment/Condo","PETN, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262035696/0/120/90/7db76b9ca45ae8c1df454fb1da20a166/15/3bd155f69da6b727744692825a98ba35/262035696.JPG","R2014069","S","503 1040 PACIFIC STREET","VVWWE","$303,000","11/6/2015","6","1","1","508","1981","34",,,"$230.00","Apartment/Condo","PETR, RENR"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033084/0/120/90/3885b28033ba173561f23725e8c7976c/16/c898b2674b2247002597c8102ea4a24c/262033084.JPG","R2011457","S","510 1010 HOWE STREET","VVWDT","$305,000","10/28/2015","6","1","1","489","1982","33","Y",,"$256.52","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034025/0/120/90/3458e258e76bd3bddea06a9546a66c71/16/9dcc51d44521b8c68047146b4d7ea8db/262034025.JPG","R2012398","S","807 1850 COMOX STREET","VVWWE","$310,000","11/2/2015","14","1","1","648","1968","47","Y","1","$332.00","Apartment/Condo","PETR, RENY, RENR"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261966459/0/120/90/bf928797e168ed2cfa9837d52f405532/16/5bda593bf5bf67b73c9e59c3f864c4d1/261966459.JPG","V1139611","S","407 1270 ROBSON STREET","VVWWE","$315,000","8/17/2015","80","1","1","600","1981","34","Y",,"$200.00","Apartment/Condo","PETR, RENR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037353/0/120/90/4cd7b18d332a045224182e20c81aa2d4/16/20bec26b3e7fdadaa2f27e3faa4d0f14/262037353.JPG","R2015726","S","614 1045 HARO STREET","VVWWE","$320,000","11/16/2015","14","1","1","550","1980","35",,,"$190.45","Apartment/Condo","PETN, RENY"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262040127/0/120/90/55b3c1bbf17bb466b764e30dc5f442b1/16/51096290f87217c5c1f31dda5ba38e83/262040127.JPG","R2018500","S","707 950 DRAKE STREET","VVWDT","$324,900","11/30/2015","3","1","1","542","1978","37","Y",,"$248.39","Apartment/Condo","PETN, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036052/0/120/90/f258fc6ddef25f8e2597cface1043b10/16/144bf294d479d163283dcf71b35e3971/262036052.JPG","R2014425","S","901 939 HOMER STREET","VVWYA","$324,900","11/9/2015","1","0","1","442","1997","19","Y","1","$203.59","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038595/0/120/90/51665d1d342d2806c1410a7079983ed9/16/b212e7a008cce99ca4e70e62a68a2092/262038595.JPG","R2016968","S","403 1367 ALBERNI STREET","VVWWE","$325,000","11/20/2015","11","0","1","393","1999","16","Y","1","$200.52","Apartment/Condo","PETR, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261923505/0/120/90/341ec6957942a9d19562bbd106dfa783/16/97c3356fe72f2e77001e26393b7a9605/261923505.JPG","V1136575","S","406 910 BEACH AVENUE","VVWYA","$325,000","7/28/2015","135","1","1","369","1997","18","N","1","$197.86","Apartment/Condo","PETR, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034595/0/120/90/5fbdc68b0622ba42fddeb315d292a288/16/d5d33e41b82a49debfbe1b0f2f9d921e/262034595.JPG","R2012968","S","201 1169 NELSON STREET","VVWWE","$335,000","11/3/2015","7","1","1","685","1981","34","Y","1","$409.05","Apartment/Condo","PETR, RENR"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038903/0/120/90/28ff1a673c4f9eb1b64722c37e641e10/16/b8014fabd3db640c9a63384b39728b76/262038903.JPG","R2017276","S","1509 1367 ALBERNI STREET","VVWWE","$339,000","11/23/2015","6","0","1","396","1999","16","Y","1","$200.52","Apartment/Condo","PETR, RENY"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041910/0/120/90/3e66c3f6d6b861f70d60e59670e401c8/16/93eeb2c42a549f7eab53c71fbdb25b7b/262041910.JPG","R2020283","S","511 1045 HARO STREET","VVWWE","$341,000","12/11/2015","5","1","1","550","1980","35",,,"$190.45","Apartment/Condo","PETN, RENY"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038856/0/120/90/a71b358cd6b5273ed3fdfcb556881ddc/16/fbc1902a4c3c88b25639678bc2e6cb78/262038856.JPG","R2017229","S","201 1280 NICOLA STREET","VVWWE","$342,000","11/23/2015","10","1","1","670","1989","26","Y","1","$273.94","Apartment/Condo","PETR, RENN"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262035388/0/120/90/202e5c7da41091086638b9b34754faa1/16/129fea1c1efc474e120e452852ab071a/262035388.JPG","R2013761","S","801 811 HELMCKEN STREET","VVWDT","$342,800","11/5/2015","1","1","1","589","1995","20","Y","1","$195.00","Apartment/Condo","RENR"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262002239/0/120/90/b52db2a4e064f5ed1e0cd3df69c2eab1/16/17a5cffdbb16a8a66c56bb7c7a557209/262002239.JPG","V1142014","S","505 438 SEYMOUR STREET","VVWDT","$343,000","8/31/2015","88","1","1","536","1996","19","Y","0","$355.61","Apartment/Condo","PETN, RENY"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038325/0/120/90/47f1a882b07b62fe98f943a651115ec0/16/e921a0ec1f532c74b8f5849cd26797dd/262038325.JPG","R2016698","S","403 1550 BARCLAY STREET","VVWWE","$347,000","11/21/2015","3","1","1","566","1981","34","N","0","$224.03","Apartment/Condo","PETR, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033606/0/120/90/f51b35e042a1b51a0eed7fd61720320a/16/e1ba65581ad0ef1a265e1928dde236d3/262033606.JPG","R2011979","S","708 811 HELMCKEN STREET","VVWDT","$350,000","10/29/2015","18","1","1","591","1995","20",,"1","$277.00","Apartment/Condo","PETR, RENR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039824/0/120/90/84f738f5d6b7845d796d334e4aa17d73/16/1b5035a7341675c198e88b48545ffd9a/262039824.JPG","R2018197","S","209 1718 NELSON STREET","VVWWE","$350,000","11/30/2015","0","1","1","596","1979","36",,,"$0.00","Apartment/Condo","NO"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262030246/0/120/90/5e2ed4faf0135717a74b605bf41f97bc/16/79a66aa56875d6e0b0ab71190393fef3/262030246.JPG","R2008619","S","1903 1238 SEYMOUR STREET","VVWDT","$350,000","10/15/2015","36","0","1","456","1996","19","Y","1","$190.68","Apartment/Condo","RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262000862/0/120/90/60ee0f86d9fd074dfd6897b481e772c5/16/ae36aad93f99f3c4d84593b0eacd2e91/262000862.JPG","V1141897","S","1204 1850 COMOX STREET","VVWWE","$357,000","9/1/2015","94","0","1","582","1968","47","Y","1","$294.00","Apartment/Condo","PETR, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2004546","S","212 1140 PENDRELL STREET","VVWWE","$359,900","9/29/2015","89","1","1","760","1978","38","Y","1","$268.32","Apartment/Condo","PETR, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037358/0/120/90/2e4734f09ab74051279406810c437f09/16/431a53581791820bb8bf7ae2074669d3/262037358.JPG","R2015731","S","1106 1725 PENDRELL STREET","VVWWE","$361,000","11/16/2015","8","1","1","621","1974","42","Y","1","$351.23","Apartment/Condo","PETY, RENN"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029796/0/120/90/4b0414bb6e94b58b00b7bea23c166fce/16/84378331275bb0aaf8168311d4beb811/262029796.JPG","R2008169","S","210 1177 HORNBY STREET","VVWDT","$362,500","10/12/2015","45","1","1","642","1995","20","Y",,"$294.95","Apartment/Condo","PETY"
