"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262021629/0/120/90/c825531a6c5c3e058b0f718220c8e55b/16/fc9582b1a2e0f642ee7404d31f572a27/262021629.JPG","V1143707","S","702 1128 W HASTINGS STREET","VVWCB","$187,000","9/9/2015","165","1","1","327","2000","16",,,"$13.02","Apartment/Condo","PETR"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262048377/0/120/90/35ff02e882c8dc98b8e3f4a7148737ae/16/5c0e18c7e8199cbeb072b82ca40e68cc/262048377.JPG","R2026750","S","2902 1128 W HASTINGS STREET","VVWCB","$200,000","1/19/2016","2","1","1","327","2000","16",,,"$0.00","Apartment/Condo","PETR, RENY"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027087/0/120/90/54a7950f7a8ea47881e9b48fcb258c7e/16/2757cb249fe294ea0efef3f546328abe/262027087.JPG","R2005460","S","1407 1251 CARDERO STREET","VVWWE","$210,000","9/28/2015","157","1","1","441","1968","48","Y","1","$258.00","Apartment/Condo","PETR, RENR"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069549/0/120/90/ed5ad0e6ea05853dca4971e590d4b1b7/16/30020ec974452e3094519b914e01ccad/262069549.JPG","R2047922","S","404 1100 HARWOOD STREET","VVWWE","$211,000","3/21/2016","9","1","1","439","1966","50","Y","1","$296.00","Apartment/Condo","PETY, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262055150/0/120/90/648eee26cd23858f59113af86e40e6b5/16/033a7fed440c0b54a35bcd571414c8be/262055150.JPG","R2033523","S","601 1250 BURNABY STREET","VVWWE","$211,500","2/8/2016","28","0","1","430","1966","50","N","0","$405.35","Apartment/Condo","PETN, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078668/0/120/90/38b4643b35f2c0fc7d72dd3ec2294fbd/16/e690de75ab3de2ca7aed34be1e5863a0/262078668.JPG","R2057041","S","504 1250 BURNABY STREET","VVWWE","$235,000","4/11/2016","17","1","1","430","1966","50","Y","1","$407.82","Apartment/Condo","PETN, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261922435/0/120/90/33935124238c6107945d080e617210cb/16/0ea14cf5341e0c7092c49302a798e80b/261922435.JPG","V1136517","S","201 1534 HARWOOD STREET","VVWWE","$235,000","7/27/2015","188","1","1","550","1967","49","N",,"$531.47","Apartment/Condo","PETR, RENY"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051331/0/120/90/cc31256965877a82138768542e113b4d/16/0d3d13bce06e25e48f6ff93bfa22b1f5/262051331.JPG","R2029704","S","607 1100 HARWOOD STREET","VVWWE","$239,000","1/26/2016","72","1","1","519","1965","51",,,"$372.27","Apartment/Condo","PETR, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078057/0/120/90/eb1b9c809fe72e7db9483fd57c35326c/16/e220d65565e43c1fb3f657d7b62553e5/262078057.JPG","R2056430","S","508 1100 HARWOOD STREET","VVWWE","$249,000","4/12/2016","5","0","1","433","1966","50","Y",,"$293.97","Apartment/Condo","PETY, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078450/0/120/90/98315137fce3eaa696f71b14870d349f/16/454c56a3787283ca328670321b43754a/262078450.JPG","R2056823","S","206 1250 BURNABY STREET","VVWWE","$260,000","4/12/2016","6","1","1","546","1966","50",,"0","$537.33","Apartment/Condo","PETN, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262045664/0/120/90/9bdab9096190c23a37f4d9aa70e1ab55/16/c86d4ca3ab7db54220d8bc068e0e70ab/262045664.JPG","R2024037","S","110 1879 BARCLAY STREET","VVWWE","$261,000","1/11/2016","26","1","1","622","1955","61","Y",,"$277.26","Apartment/Condo","PETR, RENN"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262064945/0/120/90/2479dee4e346f5a9bbeb2865440cb462/16/3cc5a4807c1046cd99a091b268e6043a/262064945.JPG","R2043318","S","409 1333 HORNBY STREET","VVWDT","$275,000","3/7/2016","1","0","1","462","1976","40","N","0","$225.00","Apartment/Condo","PETR, RENR"
