"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113061/0/120/90/f1979ae8b6ecd5d3b7a06713d1056489/16/527050d39956233a7bc24d6be3887b50/262113061.JPG","R2091434","S","903 1128 W HASTINGS STREET","VVWCB","$220,000","7/12/2016","71","1","1","295","1999","17",,,"$17.80","Apartment/Condo","NO"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2062965","S","302 1219 HARWOOD STREET","VVWWE","$245,000","4/25/2016","6","1","1","550","1967","49",,,,"Apartment/Condo",
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262055933/0/120/90/7ac74c7211eb640f8255bb432e180a8b/16/f24b4d40d4239489a3d2f2dc7e87f603/262055933.JPG","R2034306","S","108 1879 BARCLAY STREET","VVWWE","$248,000","2/12/2016","80","0","1","450","1955","61","Y","1","$221.00","Apartment/Condo","PETR, RENN"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262087688/0/120/90/b68a8f297d64d41574d551030824eeb1/16/9354f87793b644cd3e8c5f64953b681b/262087688.JPG","R2066061","S","802 1128 W HASTINGS STREET","VVWCB","$248,000","5/5/2016","169","1","1","360","2000","16",,,"$0.00","Apartment/Condo","PETR, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262088817/0/120/90/a0c406a72754d547c359c7f3c537c003/16/4c6648349b19de45fc1141a9e434ceb9/262088817.JPG","R2067190","S","502 1534 HARWOOD STREET","VVWWE","$249,000","5/9/2016","7","1","1","535","1966","50","N","0","$541.35","Apartment/Condo","PETR, RENY"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135855/0/120/90/29cb763081f069577ab0b6019fd6d82f/16/6e8dc73228ddec31317d2413308eceee/262135855.JPG","R2114228","S","908 1250 BURNABY STREET","VVWWE","$258,000","10/4/2016","1","1","1","430","1968","48","Y","1","$407.82","Apartment/Condo","PETN, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2066978","S","306 1251 CARDERO STREET","VVWWE","$260,000","5/9/2016","8","1","1","505","1966","50","Y","0","$287.00","Apartment/Condo","PETN, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262117990/0/120/90/464b2e55844c7aaaf1e81bfea5ed4c72/16/311155a36c61ecd85e8726ff28f4bb91/262117990.JPG","R2096363","S","507 1250 BURNABY STREET","VVWWE","$270,000","7/27/2016","18","1","1","540","1966","50","N","0","$542.14","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262088421/0/120/90/a96c0be6955511143cede7ffd2a4b9cb/16/c73604312126413629b154e4a1b0ec0f/262088421.JPG","R2066794","S","1005 1720 BARCLAY STREET","VVWWE","$284,000","5/7/2016","1","1","1","577","1970","46","Y","1","$425.00","Apartment/Condo","AGER, PETN, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122057/0/120/90/90f3b7e8973ab66a77c366b4c13ae559/16/1af2a94508df3c3a8a2f3a2dcef039e3/262122057.JPG","R2100430","S","307 1250 BURNABY STREET","VVWWE","$290,000","8/12/2016","15","1","1","582","1966","50",,"0","$542.14","Apartment/Condo","PETN, RENY"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262131123/0/120/90/d30515191f868ed56684055b6206ef47/16/27c119916523e415f7127f96fca84767/262131123.JPG","R2109496","S","2205 1251 CARDERO STREET","VVWWE","$290,000","9/14/2016","17","1","1","592","1968","48","Y","1","$373.00","Apartment/Condo","AGER, PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132493/0/120/90/c0e1a8492fa5b06ef39f18c2fa114fca/16/d4b139d817a6bc2661542b331fd6c6fd/262132493.JPG","R2110866","S","303 1100 HARWOOD STREET","VVWWE","$295,000","9/21/2016","6","1","1","543","1966","50",,,"$372.27","Apartment/Condo","PETR, RENY"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112896/0/120/90/5605c7939a8d3536380be0853e2ce71f/16/275b5e4ae777015991d27af934865b4e/262112896.JPG","R2091269","S","219 22 E CORDOVA STREET","VVEDT","$299,000","7/14/2016","6","0","1","383","1997","19","N",,"$219.64","Apartment/Condo","PETY, RENY"
