"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142638/0/120/90/af9071a3b76c4c12dcc69fa38a16bf55/16/8c143b6e0109ea994d85b928caeae4f3/262142638.JPG","R2121011","S","1906 1251 CARDERO STREET","VVWWE","$230,000","11/2/2016","12","1","1","435","1964","52","Y","1","$312.00","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143446/0/120/90/fdd927fa8f4511452bed400464565870/16/50aad43e8fb3dd872caa64d395360803/262143446.JPG","R2121819","S","1706 1251 CARDERO STREET","VVWWE","$230,000","11/7/2016","8","0","1","505","1968","48","Y","1","$287.00","Apartment/Condo","AGER, PETN, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146044/0/120/90/fc361797074bc7e0f9d41ae9c64f463e/16/dd640ddda53862c12f14457c4ff37f67/262146044.JPG","R2124417","S","404 1251 CARDERO STREET","VVWWE","$250,000","11/21/2016","12","1","1","694","1968","48","Y","1","$373.00","Apartment/Condo","AGER, PETN, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146538/0/120/90/668e522e63c48ea4f98b819c0568c930/16/d34602d7d1a9eebedb1bbd2bf1d2033d/262146538.JPG","R2124911","S","308 1251 CARDERO STREET","VVWWE","$280,000","11/23/2016","8","1","1","612","1968","48","Y","0","$373.00","Apartment/Condo","PETR, RENR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262139877/0/120/90/442487af4e4a947bdbc8ac59a17b068f/16/86cd3b7fd2948fcefc44b953727bc2e3/262139877.JPG","R2118250","S","506 138 E HASTINGS STREET","VVEDT","$312,400","10/18/2016","40","1","1","437","2016","0","N",,"$89.00","Apartment/Condo","PETY, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128595/0/120/90/a0ff49a0753c86696a8fa923ca64c407/16/f33b3e763d6851f9fec5fc2b0874686c/262128595.JPG","R2106968","S","209 22 E CORDOVA STREET","VVEDT","$346,000","9/7/2016","80","0","1","405","1997","19",,,"$209.17","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143235/0/120/90/fe806eb9549eaffdb67826bc905d7e20/16/614315c07e411f4a252005db47e86272/262143235.JPG","R2121608","S","710 1189 HOWE STREET","VVWDT","$370,000","11/4/2016","25","0","1","412","1999","17","N","1","$206.30","Apartment/Condo","PETY, RENY, SMKG"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143841/0/120/90/1f190c63f3fb9872dde84cf6d2456f30/16/db674939852b9e40622eeefa5743376e/262143841.JPG","R2122214","S","301 150 E CORDOVA STREET","VVEDT","$387,500","11/7/2016","5","1","1","522","2016","0","Y",,"$199.00","Apartment/Condo","PETY, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149155/0/120/90/32aa3b3580b0441cba38b1b85a642975/16/3ac1bc1db2654e8e3f036d5828978300/262149155.JPG","R2127528","S","312 22 E CORDOVA STREET","VVEDT","$388,888","12/13/2016","4","0","1","484","1997","19","N","1","$271.00","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143748/0/120/90/ebfe60db41e2cd19022d3fd1b3b096a0/16/2de38d9b52a45e1aa208a349b48a3022/262143748.JPG","R2122121","S","201 55 ALEXANDER STREET","VVEDT","$390,000","11/8/2016","7","1","1","502","2000","16","Y",,"$323.07","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143438/0/120/90/b24cfbf8628c4d667bb60d132f320a5e/16/43e14287efc12bffb0d36b4e1e93531b/262143438.JPG","R2121811","S","2203 1251 CARDERO STREET","VVWWE","$396,000","11/7/2016","8","1","1","592","1968","48","Y","1","$358.00","Apartment/Condo","AGER, PETN, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148495/0/120/90/cd92bfd3b787480cc481cbd7f2cda82e/16/069b91d16784630e576c4cead81f03ea/262148495.JPG","R2126868","S","803 989 NELSON STREET","VVWDT","$399,000","12/6/2016","4","1","1","494","1995","21","Y","0","$314.00","Apartment/Condo","PETN, RENY"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145541/0/120/90/9388e35098759bb4ce00968abab0ae5d/16/86669876cbe63c2ff98d348389a4679d/262145541.JPG","R2123914","S","1205 1367 ALBERNI STREET","VVWWE","$410,000","11/14/2016","9","0","1","445","1999","17","Y","1","$238.49","Apartment/Condo","PETR, RENY"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121363/0/120/90/c206c548cc02684777bc24fa53df6d8c/16/1ad4e889c90d5254d37fe74c0d7482b7/262121363.JPG","R2099736","S","304 1295 RICHARDS STREET","VVWYA","$415,000","8/9/2016","91","1","1","500","2000","16",,,"$234.00","Apartment/Condo","PETR, RENR"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145694/0/120/90/9b87e335c8c3b18f7bd9193e3848cd43/16/d33863d7becb6ba959a228b12e03e755/262145694.JPG","R2124067","S","209 1169 NELSON STREET","VVWWE","$416,000","11/16/2016","13","1","1","635","1981","35","N","1","$371.86","Apartment/Condo","PETR, RENR"
