"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158104/0/120/90/f6e548f38164f0a8b5af50ea4abb92eb/16/b217477ccd770933950c545357982c7a/262158104.JPG","R2136477","S","900 433 ROBSON STREET","VVWDT","$165,000","1/30/2017","8","1","1","469","1999","18","N",,"$298.60","Apartment/Condo","RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262150079/0/120/90/5ebf929280ebbba461cab111fd25c5e5/16/a8c000b1655d074222f41bce7d6683ee/262150079.JPG","R2128452","S","1814 838 HAMILTON STREET","VVWDT","$178,000","12/29/2016","48","1","1","439","1995","22",,"0","$423.38","Apartment/Condo","RENY"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145044/0/120/90/3de5754fb36cb374f1e8f8e02d44396a/16/073e54b9c5526aacda2679159b897373/262145044.JPG","R2123417","S","607 1128 W HASTINGS STREET","VVWCB","$220,000","11/13/2016","109","1","1","198","2000","17",,,"$10.00","Apartment/Condo","PETY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158776/0/120/90/9fd7711b9209929c76b7cb9328cc5085/16/d0548a47f5e20139a0a64987edd8ef78/262158776.JPG","R2137149","S","402 1251 CARDERO STREET","VVWWE","$225,000","2/6/2017","19","1","1","592","1968","49","Y","0","$358.00","Apartment/Condo","AGER, PETN, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159090/0/120/90/fc1f56ae06bf18dd5473be0651c4ae03/16/0c1244e83d3e4bd45a72fff5b2a5b80f/262159090.JPG","R2137463","S","1707 1251 CARDERO STREET","VVWWE","$228,000","2/7/2017","10","1","1","505","1968","49","Y","1","$287.00","Apartment/Condo","AGER, PETN, RENY"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160096/0/120/90/1cb497b2a9dbe545eab3c377b7916042/16/08b0a196b8f14e428943bcbd3f3c9041/262160096.JPG","R2138469","S","503 1251 CARDERO STREET","VVWWE","$235,101","2/14/2017","2","1","1","592","1968","49","Y","1","$358.00","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159632/0/120/90/83fb4ac4af44dd20e563e79fb4a51b68/16/be42ade7a1c4547eb3f10580e3c311ae/262159632.JPG","R2138005","S","1108 1100 HARWOOD STREET","VVWWE","$260,000","2/9/2017","5","0","1","433","1966","51",,,"$302.02","Apartment/Condo","PETR, RENY"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153343/0/120/90/3f8e3b606e4e80105429d25126ec83a6/16/2f6c4149077ae5005482f14bbe16e692/262153343.JPG","R2131716","S","306 1330 HARWOOD STREET","VVWWE","$260,000","1/16/2017","3","0","1","430","1970","47","Y","1","$206.95","Apartment/Condo","PETR, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156870/0/120/90/09c8a78a4178c565746f773c61e4b118/16/444668b79fe78c435e4f5dba4cebfa4c/262156870.JPG","R2135243","S","1821 1128 W HASTINGS STREET","VVWCB","$270,000","1/30/2017","3","0","1","362","1997","20",,,"$19.42","Apartment/Condo","PETN, RENN"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262182691/0/120/90/84ddf8410723760dc99fa3a1e3c2e033/16/82a9b75e3ef3a1259d9533e309a29c3f/262182691.JPG","R2161064","S","1105 1250 BURNABY STREET","VVWWE","$280,000","5/1/2017","11","0","1","430","1968","49",,,"$407.82","Apartment/Condo","PETN, RENY"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2135165","S","908 1250 BURNABY STREET","VVWWE","$289,000","1/30/2017","1","1","1","430","1968","49","Y","1","$407.82","Apartment/Condo","PETN, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158932/0/120/90/49608618bd903481534368a495029c9c/16/72245f028ef6966caf8510da1c0a5d73/262158932.JPG","R2137305","S","304 1975 PENDRELL STREET","VVWWE","$295,000","2/7/2017","3","0","1","420","1957","60","Y","1","$253.15","Apartment/Condo","PETN, RENN, SMKG"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157646/0/120/90/3064f65a3ddd45ecf9909105923377e9/16/b1b2719a5c8b230710c528d65095ecf4/262157646.JPG","R2136019","S","107 1250 BURNABY STREET","VVWWE","$299,000","2/1/2017","15","1","1","582","1966","51",,"0","$551.75","Apartment/Condo","PETN, RENY"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155069/0/120/90/e073fa4812268bb5a04ef19b80e6ea7a/16/0fbbce0258e4928886e41c958d390831/262155069.JPG","R2133442","S","103 1250 BURNABY STREET","VVWWE","$304,800","1/23/2017","9","1","1","625","1966","51","N",,"$583.18","Apartment/Condo","PETN, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262167238/0/120/90/543bd6b1e3b2ae58fc3ba073e7e26e42/16/c152c955fbc3242f3edabaa228beb3d7/262167238.JPG","R2145611","S","704 1219 HARWOOD STREET","VVWWE","$305,500","3/9/2017","8","1","1","596","1969","48","N","0","$336.04","Apartment/Condo","PETN, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188486/0/120/90/e5a9f1a156b74dad1b04b7d274e2e5c4/15/2f76367dc5fcbe23ea64ede04ad29646/262188486.JPG","R2166859","S","1003 1534 HARWOOD STREET","VVWWE","$310,000","5/12/2017","10","1","1","550","1967","50",,"0","$541.35","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165657/0/120/90/5ca22919a3918b90dd5d0b6bf3ebb0a3/16/e79bc60a27707c87d8cdfab55589e09b/262165657.JPG","R2144030","S","206 1720 BARCLAY STREET","VVWWE","$311,000","3/6/2017","8","1","1","580","1970","47","Y","1","$425.00","Apartment/Condo","PETN, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262187543/0/120/90/9fdec26dcaa621c47bca110eb0f8c465/15/d2d66c6fa41fdf7d604150841ee09b49/262187543.JPG","R2165916","S","402 1534 HARWOOD STREET","VVWWE","$320,000","5/12/2017","10","1","1","550","1967","50",,"0","$541.35","Apartment/Condo","PETY, RENY"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262177367/0/120/90/22c4ff4684ae072a2bf715203cac83b9/16/b7d609795127d093950ce11f2c1e4ab3/262177367.JPG","R2155740","S","218 138 E HASTINGS STREET","VVEDT","$335,600","4/13/2017","43","1","1","448","2015","2","N","0","$153.00","Apartment/Condo","PETY, RENR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165046/0/120/90/a61ef92f3298451001c60d0d1bb7d9e4/16/43e0276e8c81b7d8db15b9ae1813ca74/262165046.JPG","R2143419","S","2019 1128 W HASTINGS STREET","VVWCB","$338,000","2/28/2017","7","0","1","449","2000","17","N",,"$24.81","Apartment/Condo","NO"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163529/0/120/90/e4a148bb5a9c4d2d0f33f011efd0f7cf/16/b80a0af72846f967aeef86d80e5e96a2/262163529.JPG","R2141902","S","409 138 E HASTINGS STREET","VVEDT","$339,000","2/27/2017","29","1","1","448","2015","2","N",,"$90.00","Apartment/Condo","PETY, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262190525/0/120/90/47b66d00c73aefde9d4b3384ca64fd24/16/a1f70a9d96f49a856a6cb3c66b705e22/262190525.JPG","R2168898","S","804 1330 HARWOOD STREET","VVWWE","$345,000","5/22/2017","3","1","1","620","1970","47","Y","1","$304.83","Apartment/Condo","PETN, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161978/0/120/90/fbfde593f2c33e277e074e57cd3e33b6/16/6f2a7c9a529cbb7467d750c7a1416806/262161978.JPG","R2140351","S","607 138 E HASTINGS STREET","VVEDT","$345,500","2/21/2017","80","1","1","436","2015","2","N",,"$148.94","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148239/0/120/90/ada80daffaf5c7d281b9d2004206cd2e/16/143439ad10a621be77d635682356c5d6/262148239.JPG","R2126612","S","601 1108 NICOLA STREET","VVWWE","$348,000","12/5/2016","65","0","1","485","1977","40","N","0","$261.30","Apartment/Condo","PETY, RENR"
