"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221877/0/120/90/3976a51b36a844b78953189c94144eb4/16/9336ad1d886e1c9312f535f1c312358a/262221877.JPG","R2200250","S","1112 838 HAMILTON STREET","VVWDT","$171,500","8/24/2017","15","1","1","450","1995","22",,,"$416.66","Apartment/Condo","PETY, RENY"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2224439","S","808 1250 BURNABY STREET","VVWWE","$231,000","11/22/2017","4","0","1","430","1966","51",,,"$412.60","Apartment/Condo","PETN"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262207149/0/120/90/54d1c075bd7a6add8a1f72486628e9b3/16/48bb338dd7756ebd3c348af0ec74c629/262207149.JPG","R2185522","S","904 1251 CARDERO STREET","VVWWE","$250,000","7/5/2017","20","1","1","608","1968","49","Y","1","$1,065.00","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211048/0/120/90/bab55bfb85c072c65a796ee211b16bfc/16/8eb5543f6683e855fe0c0faa4728c6a6/262211048.JPG","R2189421","S","802 1251 CARDERO STREET","VVWWE","$270,000","7/18/2017","10","1","1","592","1968","49","Y","1","$358.00","Apartment/Condo","AGER, PETN, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247066/0/120/90/327fb48388b5bb2465403b21569d30f2/16/65cc56461b7c8ef0905388edc720b79d/262247066.JPG","R2225439","S","308 1250 BURNABY STREET","VVWWE","$280,000","11/28/2017","3","0","1","430","1966","51","N","0","$412.60","Apartment/Condo","PETN, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262236327/0/120/90/c5a0cc5f67f2e5e1163d81c991d1bf91/16/1279544b9e30f8972d7c3ed9f28475ca/262236327.JPG","R2214700","S","804 1250 BURNABY STREET","VVWWE","$290,000","10/10/2017","0","1","1","430","1966","51",,,"$407.82","Apartment/Condo","PETN, RENR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262210629/0/120/90/b92ee181d37eeb0dcbd4df1c2543f40f/16/67f24ab31de1a56c347afa4e2fe15183/262210629.JPG","R2189002","S","2321 1128 W HASTINGS STREET","VVWCB","$309,000","7/17/2017","0","0","1","367","2000","17",,,"$0.00","Apartment/Condo","NO"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203642/0/120/90/33b354e04fe4780839a379426abc6811/16/40e35be311fe4b145db5403971a9775b/262203642.JPG","R2182015","S","702 1534 HARWOOD STREET","VVWWE","$315,000","6/26/2017","69","1","1","550","1967","50","Y","0","$541.35","Apartment/Condo","PETR, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262208708/0/120/90/bcab9daf7fa1451517bfdee53ab11542/16/0f44b75c018219d0951a4915b4f33ff4/262208708.JPG","R2187081","S","512 1128 W HASTINGS STREET","VVWCB","$328,000","7/7/2017","5","1","0","286","2000","17",,,"$14.64","Apartment/Condo","NO"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262207469/0/120/90/bf43243aaab47331770744071dd0c15c/16/15cd0d3a48b5ea42aa342d6ad15300dc/262207469.JPG","R2185842","S","206 138 E HASTINGS STREET","VVEDT","$330,000","7/5/2017","34","1","1","433","2015","2","N","0","$145.31","Apartment/Condo","PETY, RENR"
