"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261548143/0/120/90/9dc8ad1990e6994477c801abb622c8cc/15/445e2a80ae5256fe2860ba62ec14efa4/261548143.JPG","V1108028","S","44 21668 LOUGHEED HIGHWAY","VMRWC","$16,000","3/1/2015","43","2","1","850","1973","42","0.00",,"1","MANUF","RANBG","5","Maple Ridge","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260972273/0/120/90/b1ef3ac695bd77818e9b5c364300a621/16/e9823e26e09cc50307a37a4511ef8f54/260972273.JPG","V1063718","S","304 201 CAYER STREET","VCQML","$49,900","5/9/2014","336","3","2","1,040","1973","41",,,"1","MNFLD","MANUF","7","Coquitlam","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261552855/0/120/90/57199f873f824389047d417db7959e8d/16/47971289343a8d1c1f57d9cbbea23d08/261552855.JPG","V1108518","S","5298 SUNSHINE COAST HIGHWAY","VSCSD","$55,500","3/1/2015","36","2","1","855","9999","999","5,802.00","100","1","HOUSE","RANBG","6","Sunshine Coast","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261599618/0/120/90/5b4606dc1d628f2c49c028ea38fcae25/16/f02e0c7db4d3705c8e5d0ca9f55822f6/261599618.JPG","V1112308","S","74 201 CAYER STREET","VCQCC","$57,000","3/23/2015","22","2","1","960","9999","999","0.00",,"1","MANUF","CORNU, MANUF","5","Coquitlam","1","0"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261651007/0/120/90/ed1e887855e73d215f3c19e328566009/16/13fb99350e4b82b64d6b490ecc3479d2/261651007.JPG","V1116246","S","207 201 CAYER STREET","VCQML","$122,500","4/13/2015","0","2","1","1,056","2009","6","0.00",,"1","MANUF","MANUF","7","Coquitlam","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260191317/0/120/90/0e1f9125ab4f6e3d744f230b8732bae3/16/a3cdac5b22b8ecc2acf15b2b154050c3/260191317.JPG","V1001527","S","212 CHERRY TREE LANE","VISMA","$180,000","4/11/2013","749","2","2","940","9999","999","75.00",,"1","HOUSE","RANBG","6","Islands-Van. & Gulf","2","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261666358/0/120/90/fc7b4b0b2d8a99a597631277e0dd20f6/16/b785243e29a41ee0ef941bdda0168663/261666358.JPG","V1117467","S","4567 MERRILL ROAD","VSCPE","$180,000","4/17/2015","1","3","1","927","1995","20",,"IRR","1","MNFLD","MANUF","5","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261624325/0/120/90/3bfec09f3be695cc77cad902a8500b24/16/3bd9633b8ef9d36503e87922a0f6d717/261624325.JPG","V1114164","S","683 GALLAGHER BAY ROAD","VISMA","$215,000","3/30/2015","21","2","1","805","9999","999","313.00","205","1","HOUSE","1ST+, RBBMT","5","Islands-Van. & Gulf","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261664029/0/120/90/5e23ee83307102d5e4b0e978592939e8/16/e3edce8fc320c13a658e25efde10656b/261664029.JPG","V1117384","S","5683 TRIDENT AVENUE","VSCSD","$220,000","4/17/2015","8","3","1","1,426","9999","999","62.00","123IRR","1","HOUSE","2ST","7","Sunshine Coast","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260882235/0/120/90/be4806ac68c04926ca2edf1bb7b9089d/16/cd89070f1e62c2014d4ad1ab4ca37422/260882235.JPG","V1056126","S","1174 MILLER ROAD","VBDBD","$221,500","3/31/2014","384","1","1","452","1975","39",,,"1","HOUSE","1ST","3","Bowen Island","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261556462/0/120/90/69682262f5043a62e3033b2f66dc75ff/16/8bce699390ec4a45402ac7b08f983f16/261556462.JPG","V1108885","S","27 3871 RIVER ROAD","VLDLA","$225,000","3/3/2015","39","1","2","990","1975","40","0.00",,"1","HOUSE","FLOAT","8","Ladner","1","1"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261686768/0/120/90/aa905d26eccc3d36d8f2e9b45da628d4/16/0d82d919af878078a05546a599ef57a7/261686768.JPG","V1118970","S","5766 SPINDRIFT STREET","VSCSD","$258,000","4/22/2015","1","2","2","1,040","1978","37","54.50","110","1","HOUSE","RANBG","6","Sunshine Coast","1","1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261659829/0/120/90/2201ff8b20b0aff59cb12a5d3469be9d/16/cc9d8628cd94354fd34312c2e81be5c8/261659829.JPG","V1116996","S","21563 121ST AVENUE","VMRWC","$280,000","4/11/2015","16","2","1","791","9999","999","59.00","109","1","HOUSE","RANBG","5","Maple Ridge","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261507791/0/120/90/8ac1a582e01eba942c39eae2807a9ba8/16/11c2d2f207878dc9cb69a4de4d9476ce/261507791.JPG","V1104596","S","5828 MEDUSA STREET","VSCSD","$295,000","2/10/2015","61","2","2","1,470","1990","25","60.00","121EFF","1","HOUSE","1ST, RANBG","8","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261573326/0/120/90/4cddcb5c180da7b72f19b1ee6f4fbc36/16/0f2b31e65ad1a120dd2828cf3ad8957f/261573326.JPG","V1110303","S","2 12123 222ND STREET","VMRWC","$300,000","3/11/2015","27","3","3","1,370","1982","33",,,"1","OTHER","2ST","8","Maple Ridge","1","2"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","V1116768","S","14 3295 SUNNYSIDE ROAD","VPMAN","$300,000","4/13/2015","1","2","1","1,000","9999","999",,,"1","OTHER","OTHER","4","Port Moody","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261547923/0/120/90/79407c3fbf27e925f099cb37084c0587/16/29846fedf87c16f5c78bb45cd229c25f/261547923.JPG","V1108196","S","4564 MERRILL ROAD","VSCPE","$300,000","3/2/2015","44","5","3","3,000","1997","18","65.00","irregular","2","HOUSE","RBBMT","14","Sunshine Coast","3","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261459857/0/120/90/e4458e20e22ed8a374316df49fef8155/16/e423a50e32c6299f3cc346f2d67d8915/261459857.JPG","V1100297","S","6157 NORWEST BAY ROAD","VSCSD","$307,000","1/19/2015","91","2","2","1,207","2002","13","70.00","140","1","HOUSE","1ST, RANBG","9","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260744479/0/120/90/3211d1c5fcc164383d856e73f0d53034/16/c635fc3c72519afff73e9fa4dbc4112a/260744479.JPG","V1044015","S","527 WAUGH ROAD","VISMA","$308,000","1/22/2014","441","3","2","1,390","2009","5","0.00",,"1","HOUSE","1ST+","8","Islands-Van. & Gulf","2","0"
