"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261810294/0/120/90/668088a33ae3e505756e002de9763971/16/968de964be38af92bcad4b94f1d9be97/261810294.JPG","V1128402","S","13 20963 LOUGHEED HIGHWAY","VMRSW","$5,500","6/8/2015","30","2","1","768","1973","42",,,"1","MANUF","1ST","4","Maple Ridge","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261382857/0/120/90/8027f544cd8bbc306544a818f0b29c76/16/6548a680977705cc907eea3458966cfc/261382857.JPG","V1094561","S","43 21163 LOUGHEED HIGHWAY","VMREC","$28,000","11/19/2014","254","2","1","756","1970","44","0.00",,"1","MANUF","MANUF","4","Maple Ridge","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261672043/0/120/90/f54c0ff04d79fff5b28735521c303d6b/16/4199a48d51586830b5c24adf46e11de9/261672043.JPG","V1117868","S","30 1413 SUNSHINE COAST HIGHWAY","VSCGB","$32,500","4/20/2015","84","1","1","624","1974","41","0.00",,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261660078/0/120/90/b4843f3248e40701fa156039ec23885c/16/aa715ace2d2c87ea0a1f68be34a3b91d/261660078.JPG","V1117049","S","8 1413 SUNSHINE COAST HIGHWAY","VSCGB","$33,900","4/14/2015","84","1","1","576","1969","46","0.00",,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261544638/0/120/90/739aa35a466333fec270959298965127/16/efb52e6fd1c1b45b38b0d0af591a27c6/261544638.JPG","V1108051","S","11 240 HARRY ROAD","VSCGB","$48,000","2/27/2015","132","2","1","0","1973","42",,,"1","MANUF","MANUF","8","Sunshine Coast","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261594104/0/120/90/d8d89a313b84000c20634477bd4c43ae/16/df0ab91f408a9e4cf01291e859be7713/261594104.JPG","V1111951","S","5380 SINKU ROAD","VSCSD","$70,000","3/19/2015","125","2","0","925","9999","999","60.00","220","1","HOUSE","1ST, RANBG","8","Sunshine Coast","0","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261871460/0/120/90/621a877f13a7cdb943ca00b91fa508c0/16/35a34729342665e5860f95c48ce3ac77/261871460.JPG","V1132741","S","297 201 CAYER STREET","VCQML","$73,500","7/6/2015","12","2","1","1,088","1973","42",,,"1","MANUF","EUNIT, MANUF","6","Coquitlam","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261389306/0/120/90/98f7dbc655324ea155257dbb43eb9472/16/4b454f651f87b3f7098754dc0f46cf5d/261389306.JPG","V1095002","S","124 1413 SUNSHINE COAST HIGHWAY","VSCGB","$80,000","11/22/2014","252","3","1","924","1991","23","0.00",,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261889081/0/120/90/841cf2338c2af1d7abd70e3c168c1c8c/16/366b244a67cd0c12b3c3697b58ef9eed/261889081.JPG","V1134067","S","75 40157 GOVERNMENT ROAD","VSQGE","$85,000","7/8/2015","19","3","1","1,125","9999","999","0.00",,"1","MANUF","1ST","6","Squamish","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260503978/0/120/90/63e8d7b1ad9dc2bc27044603b1e3c16b/16/0e8554cc059f64bac0c49bc7a41844bd/260503978.JPG","V1025285","S","91 40157 GOVERNMENT ROAD","VSQGE","$88,000","9/3/2013","688","2","2","1,040","1971","42","0.00",,"1","MANUF","MANUF","6","Squamish","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261564711/0/120/90/5daee8985ae356c88320fd95995ecb04/16/c8581cccd23e5ed7c2d1f7a0ae4f959e/261564711.JPG","V1109500","S","86 1413 SUNSHINE COAST HIGHWAY","VSCGB","$112,700","3/8/2015","129","2","1","1,084","1972","43","0.00",,"1","MANUF","1ST","8","Sunshine Coast","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261774864/0/120/90/ed58937d963d7ffa258e60fe84fd7c1e/16/baac0872be131bae103445331d351f8e/261774864.JPG","V1125634","S","38 40157 GOVERNMENT ROAD","VSQGE","$118,000","5/27/2015","36","3","2","962","1974","41","0.00",,"1","MANUF","MANUF","6","Squamish","2","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261549969/0/120/90/17254c72a8a28467c1202dbb8e552544/16/b01dae1eba40505a7b461901a8b20133/261549969.JPG","V1108248","S","75 201 CAYER STREET","VCQML","$118,500","3/2/2015","126","2","1","960","2011","4","0.00",,"1","MANUF","MANUF","6","Coquitlam","1","0"
