"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261405611/0/120/90/d70e050e28a85e1be1120e9830bb8d47/16/563295543016c6be60d20f527f9b7d56/261405611.JPG","V1096067","S","122 1413 SUNSHINE COAST HIGHWAY","VSCGB","$69,000","12/3/2014","96","4","1","1,210","1992","22","0.00",,"1","MANUF","MANUF","8","Sunshine Coast","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261165976/0/120/90/126bdcc20fcec6d5d768be662e8a5909/16/2e2da9f885e8c32578a74a585fd49012/261165976.JPG","V1078672","S","7 3350 WESTHAM ISL ROAD","VLDWI","$96,000","8/3/2014","226","1","2","960","9999","999","0.00","0","1","HOUSE","FLOAT","4","Ladner","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261488549/0/120/90/4c0218ae32b4840614e6eb00020611c6/15/e892f31abef540d6e132c4c87fc5a8e4/261488549.JPG","V1102772","S","138 145 KING EDWARD STREET","VCQML","$106,000","2/2/2015","35","2","2","1,000","1981","34","0.00",,"1","MANUF","MANUF, RANBG","6","Coquitlam","2","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261483528/0/120/90/b76bae6c6bad323740dc1503d82e2a87/16/7f84c2aafb33231d9d0e47f3ae5b2676/261483528.JPG","V1102507","S","1 3350 WESTHAM ISLAND ROAD","VLDWI","$123,000","2/1/2015","46","1","2","975","9999","999","0.00","0","1","HOUSE","FLOAT","5","Ladner","1","1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261516208/0/120/90/0d5f6b555b10a0ef98e6e71e9b98dd2e/16/1d8d30b341a79a99559d2a5dd6a3f76c/261516208.JPG","V1105287","S","46 145 KING EDWARD STREET","VCQCW","$125,000","2/16/2015","22","2","1","924","1985","30",,,"1","MANUF","MANUF","5","Coquitlam","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261612548/0/120/90/62c5518bbaffe2de23c7ebf7d5553b50/16/b0c7a46296ce81e83694a9c31f45a6fd/261612548.JPG","V1113382","S","DL 8280 GATES CREEK ROAD","VPEBI","$139,000","3/25/2015","6","0","0","300","9999","999","150.00",,"0","RECRE","OTHER","1","Pemberton","0","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261105379/0/120/90/cd8c29dfdd285c30f3294f0b15560b4b/16/9f736624d953b86bea810256a408154c/261105379.JPG","V1074068","S","110 DEVINA DRIVE","VISGL","$145,000","6/30/2014","260","1","1","1,310","1982","32","224.00","162","1","HOUSE","RBBMT","6","Islands-Van. & Gulf","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261489507/0/120/90/1437726f4988f09b86c1ff9649b85e24/16/3c9095a38417654ca867850a6ae3e40f/261489507.JPG","V1102943","S","2932 BIRKEN LANE","VPEBI","$155,000","2/2/2015","46","2","1","1,032","1972","43",,,"1","HOUSE","1ST","8","Pemberton","1","0"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261314643/0/120/90/04cc3323ac2e4daa0aa6e4980c197e5c/16/fc412a62f8208e4066ff5f77e427755c/261314643.JPG","V1090208","S","5456 DERBY ROAD","VSCSD","$181,123","10/14/2014","149","4","1","1,870","1982","32","60.00","130","1","HOUSE","2ST","10","Sunshine Coast","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261376254/0/120/90/27ea585f4c383f9f4ce3a3740fd9c7c8/16/b9ea8f9366adb8513058bc2adf915d4f/261376254.JPG","V1094140","S","22 1123 FLUME ROAD","VSCRC","$183,000","11/14/2014","127","3","2","1,700","1994","20",,,"1","MANUF","MANUF, RANBG","8","Sunshine Coast","2","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261522627/0/120/90/1b867b1ae0ab10a98e4d304fae521552/16/59c33b1eef621dcabc9d960775a016f2/261522627.JPG","V1105919","S","519 ABBOTT ROAD","VISMA","$184,900","2/14/2015","35","2","1","585","1999","16","100.00","150","1","HOUSE","1ST","5","Islands-Van. & Gulf","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261611941/0/120/90/81af8c8b7d39245f3d7f327bf0c196d3/16/76cf64a1464f485ff6b6f77e036abe97/261611941.JPG","V1113327","S","12158 252ND STREET","VMRWB","$220,000","3/23/2015","7","1","1","250","9999","999",,,"1","HOUSE","RANBG","2","Maple Ridge","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261558749/0/120/90/641111f14e28caccaa8954ff67c671a7/16/365bcd05022c4808f09325ef13e16381/261558749.JPG","V1109048","S","1004 WEST BAY ROAD","VSCGM","$232,000","3/3/2015","24","2","1","1,000","1976","39","40.21","80.341","1","HOUSE","RBBMT","12","Sunshine Coast","1","0"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261441336/0/120/90/544a5100e13cc70dae7be25303c2c516/16/4307feecdc2b71b4d05ec874ca2597b9/261441336.JPG","V1098553","S","5755 ANCHOR ROAD","VSCSD","$236,101","1/8/2015","67","3","3","2,560","1990","25","50.00","120","1","HOUSE","2BSMT","10","Sunshine Coast","3","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261218675/0/120/90/a4f8ca258a8a8314fdd071a3e7c7af80/16/4027d1fa0424cb730efd33164c1dc2b5/261218675.JPG","V1082386","S","5187 WESJAC ROAD","VSCPE","$250,000","8/26/2014","197","3","1","1,430","1990","24","120.00","203","1","HOUSE","RBBMT","6","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261153904/0/120/90/73131fad2ef125718dc58afbcffebf02/16/f33239b579639edf1cfc3199a553a077/261153904.JPG","V1078136","S","9282 PORTAGE ROAD","VPEBI","$264,000","7/26/2014","244","3","3","2,100","1979","35",,,"1","HACR","2ST","6","Pemberton","2","1"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261425344/0/120/90/0aed7dfbf4d2957921f6df30df384820/15/f86a98c626f5179e4439ce56305962c1/261425344.JPG","V1097198","S","11259 PRINCESS STREET","VMRSW","$275,000","12/19/2014","101","3","1","1,074","9999","999","60.00","120","1","HOUSE","RANBG","8","Maple Ridge","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261468953/0/120/90/2453c45b62e8e4763905c6b989c3bc09/16/e915c6660aa74b0e8a372b5ec0cecc89/261468953.JPG","V1101046","S","270 RYAN DRIVE","VSCGB","$278,000","1/22/2015","41","2","1","1,197","1985","30","82.00","132","1","HOUSE","RANBG","8","Sunshine Coast","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261594308/0/120/90/a70576aff24398bb4a5c84dcde1b2696/16/6d78696378869a23d743dd303fd58736/261594308.JPG","V1111973","S","5674 CREEKSIDE PLACE","VSCSD","$280,000","3/17/2015","0","3","1","1,117","1989","26","47.00","95","1","HOUSE","RANBG","7","Sunshine Coast","1","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261239196/0/120/90/14181adaf7734c28494300c26d8c8444/16/d862dfb2075833add0ef823ff68ef7fd/261239196.JPG","V1084131","S","6759 A-6759 B SEAVIEW LANE","VSCSD","$280,000","9/8/2014","178","4","3","2,200","9999","999","95.00","170","2","HOUSE","RANBG","11","Sunshine Coast","2","1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261598017/0/120/90/2945aff10d72026d9b11d440d8793ef9/16/c1ff29cdc8d777c3cf4f0846f543ecff/261598017.JPG","V1113150","S","5472 CARNABY PLACE","VSCSD","$280,000","3/18/2015","1","3","2","1,376","1992","23","42.17","IRR","1","HOUSE","RANBG","6","Sunshine Coast","2","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261450542/0/120/90/927056e7390c37e849c593c72a24e0de/16/de4e0c96404e86a20b1216351df1f7e7/261450542.JPG","V1099431","S","11711 225 STREET","VMREC","$280,000","1/14/2015","76","2","1","742","1940","75","60.00","137.28","1","HOUSE","RANBG","5","Maple Ridge","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261561504/0/120/90/1e283262cb42e94193e30239eab93457/16/64b8c7ea85b31282b9af7a5b53ce7b2c/261561504.JPG","V1109329","S","20132 DITTON STREET","VMRSW","$285,000","3/4/2015","15","2","1","1,038","1986","29","60.00",,"1","HOUSE","RANBG","5","Maple Ridge","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261597948/0/120/90/3c5c71c84a01c7d6282930b14072440f/16/555ecfa50958c365dff7ebd1fae58d62/261597948.JPG","V1112203","S","1259 GOWER POINT ROAD","VSCGB","$290,000","3/20/2015","3","2","1","878","9999","999","100.00","217.83","1","HOUSE","RBBMT","5","Sunshine Coast","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261502220/0/120/90/edc6b6c6904b0050f7e6d6c116a76346/16/77917fd336a6598a040f83fe2c80da64/261502220.JPG","V1103989","S","897 MARINE DRIVE","VSCGB","$292,000","2/7/2015","22","1","1","770","9999","999","66.00",,"1","HOUSE","RANBG","3","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261442595/0/120/90/9297a7a99c08c0ba09b8552733078a9a/16/380404507209412e3e9a24e64cb7b30e/261442595.JPG","V1099217","S","6112 FAIRWAY AVENUE","VSCSD","$295,000","1/9/2015","63","3","1","1,184","1991","24","160.00","114","1","HOUSE","RANBG","7","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261554949/0/120/90/856e12aded3b2ce6f7dac2c6fc256ffb/16/8f4840cda3ff67518476dd04387117f2/261554949.JPG","V1108720","S","4648 WHITAKER ROAD","VSCSD","$297,500","3/2/2015","7","2","1","1,009","1955","60","97.00","224 AVG","1","HOUSE","RANBG","5","Sunshine Coast","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261568850/0/120/90/642381cf15a6da2a96d219c2a3aa5436/16/815cf505d4a6d96e319c3b8cad7e5a98/261568850.JPG","V1109926","S","EFH2 415 W ESPLANADE AVENUE","VNVLL","$299,850","3/8/2015","3","2","1","1,171","1990","25","0.00",,"1","HOUSE","FLOAT","7","North Vancouver","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261481257/0/120/90/6946dcd608a0d0e5ef954bf4c060a0a9/16/efa3c01c3ef9ab86ecacf9240a7f51d1/261481257.JPG","V1102465","S","20333 WANSTEAD STREET","VMRSW","$300,000","2/1/2015","46","2","1","868","9999","999","60.00","120","1","HOUSE","1ST, RANBG","6","Maple Ridge","1","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260976289/0/120/90/3dc6ff112229b97ee991a7c3292e1fc8/16/95f8775a037d92a35b6a3a0761996636/260976289.JPG","V1064022","S","20258 OSPRING STREET","VMRSW","$301,200","5/12/2014","299","2","1","886","9999","999","60.00","120","1","HOUSE","RANBG","6","Maple Ridge","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261227463/0/120/90/c8e12532c94d78af752e0b478d166df0/16/b370d48ef952105870b542e71a369105/261227463.JPG","V1083134","S","5750 SURF CRESCENT","VSCSD","$320,000","9/2/2014","188","4","2","2,468","1985","29","105.00",,"2","HOUSE","2ST, SPLIT","9","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261484545/0/120/90/c749cc47bfe86b44ecf3db0043b56fac/16/dacb03f811d90d5d00371521a3ac841d/261484545.JPG","V1102342","S","5731 CARTIER ROAD","VSCSD","$320,000","1/29/2015","46","3","2","1,400","2007","8","55.00","105","1","HOUSE","1ST","9","Sunshine Coast","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261206978/0/120/90/67d02343bc7f532b432939ef6e1d1e31/16/1eeff52e0938386561168ccadf9ade64/261206978.JPG","V1081555","S","5599 EMERSON ROAD","VSCSD","$324,000","8/23/2014","192","3","3","2,284","1994","20","75.50","128.5","1","HOUSE","2ST","9","Sunshine Coast","3","0"
