"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025289/0/120/90/b8f4a9281ba8cb0f3223b8f58cf7810e/16/125d98fb7d9f52cfd9a93fb99057c671/262025289.JPG","R2003662","S","12 23206 CALVIN CRESCENT","VMREC","$29,000","9/24/2015","8","2","1","600","1970","45",,,"1","MANUF","1ST","4","Maple Ridge","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261679690/0/120/90/147d1e396ad9095ece449ffa08667cfc/16/ccfb335aaf401f8f939fd7c07ddc6017/261679690.JPG","V1118549","S","35 21163 LOUGHEED HIGHWAY","VMRSW","$37,500","4/22/2015","177","2","1","792","1970","45","0.00",,"1","MANUF","MANUF","6","Maple Ridge","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261875298/0/120/90/41abf808ab03c8999178b4dc9d905ffb/16/d4a365e608ca8c018630f5fb27ebe27a/261875298.JPG","V1133110","S","5420 SINKU DRIVE","VSCSD","$50,000","7/6/2015","93","3","2","1,069","1994","21","68.39","313.0 AVG","1","HOUSE","RANBG","8","Sunshine Coast","1","1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029833/0/120/90/43d5d3fb425462fe76ca5a1a76849071/16/2a876f58d154aa9e68d9458f93a4b358/262029833.JPG","R2008206","S","17 40157 GOVERNMENT ROAD","VSQGE","$60,000","10/14/2015","1","3","1","904","1971","44",,,"1","MANUF","MANUF","6","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261911010/0/120/90/1d8b7f32da6cd27fe4ffe984f023675c/16/f09b9b0c43c22011ee41fe871c702c6f/261911010.JPG","V1135720","S","13173 SEXWAMIN STREET","VSCPE","$64,900","7/22/2015","79","2","2","1,227","1975","40","100.00","186","1","HOUSE","1ST, RANBG","5","Sunshine Coast","2","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261573091/0/120/90/ecf583a3d2ec6553130868fa24d02b65/16/ef1596f2c433a206325f27a8c69bfb52/261573091.JPG","V1110402","S","19 4514 SUNSHINE COAST HIGHWAY","VSCSD","$69,000","3/11/2015","212","2","1","840","2004","11","0.00","0","1","MANUF","1ST","4","Sunshine Coast","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031359/0/120/90/e40688de87fd95222eaee96f26f02f40/16/bef50fd6b82940e4ec8cfedf7e8574f1/262031359.JPG","R2009732","S","308 201 CAYER STREET","VCQCC","$84,900","10/19/2015","7","3","1","906","1969","46",,,"1","MANUF","MANUF","5","Coquitlam","1","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261946395/0/120/90/b4f81e56d6ba014791566d2902f8e49b/16/12ae70be1b62659afd783a0e7ca84747/261946395.JPG","V1138300","S","30 40157 GOVERNMENT ROAD","VSQGE","$87,000","8/4/2015","83","4","1","1,380","1978","37","0.00","0","1","MANUF","1ST","7","Squamish","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261980070/0/120/90/e80cdae2329e6171100f803d88e6aff5/16/14c39cd5f936437ced0656c1496763c0/261980070.JPG","V1140489","S","40 40022 GOVERNMENT ROAD","VSQGE","$110,000","8/21/2015","44","3","1","838","1981","34","0.00",,"1","MANUF","1ST","6","Squamish","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262023012/0/120/90/84f680393254db3e9de4bb211c458ebf/16/54a6f824c76e3c376e9c5d64e52ad6af/262023012.JPG","R2001385","S","58 145 KING EDWARD STREET","VCQML","$185,000","9/15/2015","27","2","2","1,350","1985","30",,,"1","MANUF","MANUF","7","Coquitlam","2","0"
